benjysarlin,252,1,1,1,1,1,1,1,1,1
spoke,57,63,63,63,63,63,63,63,63,63
theorists,0,1,1,1,1,1,1,1,1,1
redouad,26,11,11,11,11,11,11,11,11,11
jkenney,0,0,0,0,0,0,0,0,0,0
halal,16,14,14,14,14,14,14,14,14,14
dacera,0,1,1,1,1,1,1,1,1,1
prioritization,0,0,0,0,0,0,0,0,0,0
nikkifried,0,0,0,0,0,0,0,0,0,0
poorly,0,0,0,0,0,0,0,0,0,0
thedailyshow,0,0,0,0,0,0,0,0,0,0
spends,0,0,0,0,0,0,0,0,0,0
1000,158,44,44,44,44,44,44,44,44,44
tga,20,12,12,12,12,12,12,12,12,12
minds,0,0,0,0,0,0,0,0,0,0
procedures,0,0,0,0,0,0,0,0,0,0
gandhi,114,23,23,23,23,23,23,23,23,23
5vzqo7kvq2,0,0,0,0,0,0,0,0,0,0
ordered,14,10,10,10,10,10,10,10,10,10
asymptomatic,0,0,0,0,0,0,0,0,0,0
entering,0,0,0,0,0,0,0,0,0,0
thi,140,51,51,51,51,51,51,51,51,51
thr,32,12,12,12,12,12,12,12,12,12
dpjhodges,0,0,0,0,0,0,0,0,0,0
gabrielscally,0,0,0,0,0,0,0,0,0,0
dig1v9qduy,0,0,0,0,0,0,0,0,0,0
suffered,0,0,0,0,0,0,0,0,0,0
reopening,0,0,0,0,0,0,0,0,0,0
norbertelekes,0,0,0,0,0,0,0,0,0,0
provides,0,0,0,0,0,0,0,0,0,0
murdoch,20,6,6,6,6,6,6,6,6,6
tweet,478,244,244,244,244,244,244,244,244,244
handling,0,0,0,0,0,0,0,0,0,0
vaccinatio,75,26,26,26,26,26,26,26,26,26
thrus,0,4,4,4,4,4,4,4,4,4
dr2nisreenalwan,85,6,6,6,6,6,6,6,6,6
traveling,0,0,0,0,0,0,0,0,0,0
thats,202,97,97,97,97,97,97,97,97,97
women,242,127,127,127,127,127,127,127,127,127
elisestefanik,17,3,3,3,3,3,3,3,3,3
brianlilley,0,0,0,0,0,0,0,0,0,0
vaccinating,1,1,1,1,1,1,1,1,1,1
uplo,0,0,0,0,0,0,0,0,0,0
rosa,10,381,381,381,381,381,381,381,381,381
countys,0,0,0,0,0,0,0,0,0,0
cov,216,74,74,74,74,74,74,74,74,74
lan,1,2,2,2,2,2,2,2,2,2
circumstances,0,0,0,0,0,0,0,0,0,0
chilis,0,0,0,0,0,0,0,0,0,0
bingo,107,3,3,3,3,3,3,3,3,3
became,0,0,0,0,0,0,0,0,0,0
picardonhealth,75,60,60,60,60,60,60,60,60,60
times,3,2,2,2,2,2,2,2,2,2
20000,2,0,0,0,0,0,0,0,0,0
20k,3,115,115,115,115,115,115,115,115,115
probe,31,34,34,34,34,34,34,34,34,34
lining,0,1,1,1,1,1,1,1,1,1
capita,35,48,48,48,48,48,48,48,48,48
caught,190,55,55,55,55,55,55,55,55,55
japan,56,17,17,17,17,17,17,17,17,17
led,314,261,261,261,261,261,261,261,261,261
worked,9,2,2,2,2,2,2,2,2,2
docs,0,0,0,0,0,0,0,0,0,0
defined,0,0,0,0,0,0,0,0,0,0
cares,2,0,0,0,0,0,0,0,0,0
havent,6,3,3,3,3,3,3,3,3,3
europeans,0,0,0,0,0,0,0,0,0,0
shots,45,2,2,2,2,2,2,2,2,2
strains,1,1,1,1,1,1,1,1,1,1
actionfrauduk,0,1,1,1,1,1,1,1,1,1
ezraklein,363,38,38,38,38,38,38,38,38,38
refused,0,0,0,0,0,0,0,0,0,0
calexpo,0,0,0,0,0,0,0,0,0,0
silverrich39,0,21,21,21,21,21,21,21,21,21
holidays,0,0,0,0,0,0,0,0,0,0
22bn,1,1,1,1,1,1,1,1,1,1
cyrilramaphosa,67,29,29,29,29,29,29,29,29,29
athletes,0,0,0,0,0,0,0,0,0,0
privileged,0,0,0,0,0,0,0,0,0,0
converted,0,0,0,0,0,0,0,0,0,0
referendum,79,12,12,12,12,12,12,12,12,12
cards,0,1,1,1,1,1,1,1,1,1
resistant,0,0,0,0,0,0,0,0,0,0
mice,246,10,10,10,10,10,10,10,10,10
scientits,0,0,0,0,0,0,0,0,0,0
