covid,8218,6034,6034,6034,6034,6034,6034,6034,6034,6034
india,1552,818,818,818,818,818,818,818,818,818
covid19,1422,1363,1363,1363,1363,1363,1363,1363,1363,1363
narendramodi,1320,411,411,411,411,411,411,411,411,411
pfizer,1164,820,820,820,820,820,820,820,820,820
eboknowss,864,34,34,34,34,34,34,34,34,34
rollout,673,706,706,706,706,706,706,706,706,706
johnson,525,678,678,678,678,678,678,678,678,678
moderna,289,343,343,343,343,343,343,343,343,343
oxford,269,209,209,209,209,209,209,209,209,209
british,257,136,136,136,136,136,136,136,136,136
israel,233,398,398,398,398,398,398,398,398,398
buckingham,217,30,30,30,30,30,30,30,30,30
china,197,128,128,128,128,128,128,128,128,128
nygovcuomo,192,90,90,90,90,90,90,90,90,90
elizabeth,160,82,82,82,82,82,82,82,82,82
khamenei,140,104,104,104,104,104,104,104,104,104
denmark,129,76,76,76,76,76,76,76,76,76
covaxin,128,95,95,95,95,95,95,95,95,95
covishield,118,32,32,32,32,32,32,32,32,32
brazilian,118,23,23,23,23,23,23,23,23,23
bitch,116,95,95,95,95,95,95,95,95,95
joebiden,109,68,68,68,68,68,68,68,68,68
republican,107,19,19,19,19,19,19,19,19,19
facebook,101,78,78,78,78,78,78,78,78,78
locat,99,82,82,82,82,82,82,82,82,82
vacci,90,104,104,104,104,104,104,104,104,104
africa,89,58,58,58,58,58,58,58,58,58
nhsuk,86,44,44,44,44,44,44,44,44,44
latest,85,93,93,93,93,93,93,93,93,93
children,76,85,85,85,85,85,85,85,85,85
phillip,73,109,109,109,109,109,109,109,109,109
taken,72,46,46,46,46,46,46,46,46,46
fauci,72,67,67,67,67,67,67,67,67,67
gonna,71,64,64,64,64,64,64,64,64,64
america,70,103,103,103,103,103,103,103,103,103
britain,70,75,75,75,75,75,75,75,75,75
iranian,68,37,37,37,37,37,37,37,37,37
ginni,66,50,50,50,50,50,50,50,50,50
gavinnewsom,63,39,39,39,39,39,39,39,39,39
vaccinati,60,46,46,46,46,46,46,46,46,46
nigeria,60,33,33,33,33,33,33,33,33,33
women,59,105,105,105,105,105,105,105,105,105
forefront,56,56,56,56,56,56,56,56,56,56
sarscov2,55,28,28,28,28,28,28,28,28,28
passport,54,83,83,83,83,83,83,83,83,83
polio,54,47,47,47,47,47,47,47,47,47
nhsengland,54,54,54,54,54,54,54,54,54,54
email,54,41,41,41,41,41,41,41,41,41
california,50,53,53,53,53,53,53,53,53,53
longer,49,41,41,41,41,41,41,41,41,41
telegraph,48,37,37,37,37,37,37,37,37,37
canadian,47,45,45,45,45,45,45,45,45,45
french,45,36,36,36,36,36,36,36,36,36
shown,44,25,25,25,25,25,25,25,25,25
russian,44,36,36,36,36,36,36,36,36,36
bjp4india,42,42,42,42,42,42,42,42,42,42
sputnik,42,25,25,25,25,25,25,25,25,25
apartheid,41,45,45,45,45,45,45,45,45,45
guardian,41,57,57,57,57,57,57,57,57,57
david,40,38,38,38,38,38,38,38,38,38
shipment,39,29,29,29,29,29,29,29,29,29
scotland,39,131,131,131,131,131,131,131,131,131
english,39,44,44,44,44,44,44,44,44,44
vinguptamd,38,8,8,8,8,8,8,8,8,8
neilclark66,38,5,5,5,5,5,5,5,5,5
higher,38,43,43,43,43,43,43,43,43,43
orwellian,37,1572,1572,1572,1572,1572,1572,1572,1572,1572
capitol,37,31,31,31,31,31,31,31,31,31
chrischirp,36,73,73,73,73,73,73,73,73,73
sinopharm,35,31,31,31,31,31,31,31,31,31
juliahb1,34,34,34,34,34,34,34,34,34,34
thrown,34,67,67,67,67,67,67,67,67,67
morrison,33,45,45,45,45,45,45,45,45,45
wanna,33,19,19,19,19,19,19,19,19,19
brexit,33,54,54,54,54,54,54,54,54,54
peterhotez,32,18,18,18,18,18,18,18,18,18
covax,32,112,112,112,112,112,112,112,112,112
covid19uk,32,19,19,19,19,19,19,19,19,19
dhscgovuk,30,20,20,20,20,20,20,20,20,20
inject,29,27,27,27,27,27,27,27,27,27
bolsonaro,28,20,20,20,20,20,20,20,20,20
michael,28,17,17,17,17,17,17,17,17,17
microchip,27,37,37,37,37,37,37,37,37,37
vaccinat,27,19,19,19,19,19,19,19,19,19
virginia,26,18,18,18,18,18,18,18,18,18
greatreset,26,27,27,27,27,27,27,27,27,27
thats,25,31,31,31,31,31,31,31,31,31
european,25,19,19,19,19,19,19,19,19,19
blair,25,82,82,82,82,82,82,82,82,82
sturgeon,24,47,47,47,47,47,47,47,47,47
hancock,24,234,234,234,234,234,234,234,234,234
netanyahu,22,49,49,49,49,49,49,49,49,49
spain,22,72,72,72,72,72,72,72,72,72
australia,22,105,105,105,105,105,105,105,105,105
telangana,22,14,14,14,14,14,14,14,14,14
bullshit,21,15,15,15,15,15,15,15,15,15
batch,21,13,13,13,13,13,13,13,13,13
arizona,20,10,10,10,10,10,10,10,10,10
congress,20,23,23,23,23,23,23,23,23,23
devisridhar,20,16,16,16,16,16,16,16,16,16
scottish,20,67,67,67,67,67,67,67,67,67
janicedean,20,37,37,37,37,37,37,37,37,37
oregon,20,17,17,17,17,17,17,17,17,17
bbcworld,19,13,13,13,13,13,13,13,13,13
idiot,19,15,15,15,15,15,15,15,15,15
spike,19,14,14,14,14,14,14,14,14,14
brought,19,27,27,27,27,27,27,27,27,27
podcast,18,24,24,24,24,24,24,24,24,24
wrote,18,24,24,24,24,24,24,24,24,24
sooner,18,9,9,9,9,9,9,9,9,9
georgia,18,18,18,18,18,18,18,18,18,18
nycmayor,17,23,23,23,23,23,23,23,23,23
forgot,17,10,10,10,10,10,10,10,10,10
lindafrum,16,18,18,18,18,18,18,18,18,18
parliament,16,12,12,12,12,12,12,12,12,12
kizzyphd,16,28,28,28,28,28,28,28,28,28
erictopol,16,88,88,88,88,88,88,88,88,88
quebec,16,32,32,32,32,32,32,32,32,32
percent,16,15,15,15,15,15,15,15,15,15
doses,16,10,10,10,10,10,10,10,10,10
urgent,16,40,40,40,40,40,40,40,40,40
sinovac,15,37,37,37,37,37,37,37,37,37
nadhim,14,28,28,28,28,28,28,28,28,28
timesnow,14,10,10,10,10,10,10,10,10,10
msnbc,14,10,10,10,10,10,10,10,10,10
japan,13,16,16,16,16,16,16,16,16,16
ramaphosa,13,5,5,5,5,5,5,5,5,5
govtimwalz,13,11,11,11,11,11,11,11,11,11
worlds,12,17,17,17,17,17,17,17,17,17
admin,12,31,31,31,31,31,31,31,31,31
mojos55,12,10,10,10,10,10,10,10,10,10
fatemperor,12,23,23,23,23,23,23,23,23,23
gotta,12,14,14,14,14,14,14,14,14,14
drleanawen,12,31,31,31,31,31,31,31,31,31
ajenglish,12,9,9,9,9,9,9,9,9,9
smallpox,12,6,6,6,6,6,6,6,6,6
kinda,12,7,7,7,7,7,7,7,7,7
christ,12,8,8,8,8,8,8,8,8,8
doing,12,8,8,8,8,8,8,8,8,8
spoke,11,46,46,46,46,46,46,46,46,46
carolina,11,6,6,6,6,6,6,6,6,6
vonderleyen,11,30,30,30,30,30,30,30,30,30
thesun,11,6,6,6,6,6,6,6,6,6
bigger,11,9,9,9,9,9,9,9,9,9
zeneca,11,33,33,33,33,33,33,33,33,33
brooklyn,10,28,28,28,28,28,28,28,28,28
friedberg,10,7,7,7,7,7,7,7,7,7
novavax,10,8,8,8,8,8,8,8,8,8
jpnadda,10,7,7,7,7,7,7,7,7,7
australian,10,8,8,8,8,8,8,8,8,8
jordan,9,88,88,88,88,88,88,88,88,88
marcorubio,9,23,23,23,23,23,23,23,23,23
chaotic,9,7,7,7,7,7,7,7,7,7
qanon,9,6,6,6,6,6,6,6,6,6
chose,9,20,20,20,20,20,20,20,20,20
censorship,9,5,5,5,5,5,5,5,5,5
scotgov,9,6,6,6,6,6,6,6,6,6
sankranti,9,10,10,10,10,10,10,10,10,10
21wire,8,9,9,9,9,9,9,9,9,9
reopen,8,9,9,9,9,9,9,9,9,9
lowest,8,9,9,9,9,9,9,9,9,9
distri,8,4,4,4,4,4,4,4,4,4
indonesia,7,21,21,21,21,21,21,21,21,21
schools,7,6,6,6,6,6,6,6,6,6
infect,7,4,4,4,4,4,4,4,4,4
martin,7,4,4,4,4,4,4,4,4,4
didnt,7,9,9,9,9,9,9,9,9,9
spanish,7,17,17,17,17,17,17,17,17,17
cowin,7,8,8,8,8,8,8,8,8,8
scott,7,10,10,10,10,10,10,10,10,10
ivermectin,7,4,4,4,4,4,4,4,4,4
governorva,6,3,3,3,3,3,3,3,3,3
bihar,6,5,5,5,5,5,5,5,5,5
wisconsin,6,2,2,2,2,2,2,2,2,2
brink,6,6,6,6,6,6,6,6,6,6
indiana,6,5,5,5,5,5,5,5,5,5
anantbhan,6,2,2,2,2,2,2,2,2,2
karnataka,6,5,5,5,5,5,5,5,5,5
going,5,3,3,3,3,3,3,3,3,3
hyderabad,5,4,4,4,4,4,4,4,4,4
ebola,5,6,6,6,6,6,6,6,6,6
starmer,5,17,17,17,17,17,17,17,17,17
breakdown,5,15,15,15,15,15,15,15,15,15
bloomberg,5,9,9,9,9,9,9,9,9,9
politico,5,21,21,21,21,21,21,21,21,21
pakistan,5,4,4,4,4,4,4,4,4,4
absurd,5,31,31,31,31,31,31,31,31,31
davesharma,5,3,3,3,3,3,3,3,3,3
cagovernor,5,4,4,4,4,4,4,4,4,4
whatsapp,5,15,15,15,15,15,15,15,15,15
hvgoenka,5,3,3,3,3,3,3,3,3,3
asian,4,6,6,6,6,6,6,6,6,6
tamil,4,4,4,4,4,4,4,4,4,4
inbox,4,2,2,2,2,2,2,2,2,2
wuhan,4,9,9,9,9,9,9,9,9,9
