covid,13081,17353,17353,17353,17353,17353,17353,17353,17353,17353
pfizer,1376,2870,2870,2870,2870,2870,2870,2870,2870,2870
johnson,910,352,352,352,352,352,352,352,352,352
biden,900,3282,3282,3282,3282,3282,3282,3282,3282,3282
moderna,740,476,476,476,476,476,476,476,476,476
india,680,2307,2307,2307,2307,2307,2307,2307,2307,2307
chunkz,474,385,385,385,385,385,385,385,385,385
cleaned,462,12,12,12,12,12,12,12,12,12
brazil,349,267,267,267,267,267,267,267,267,267
israel,337,514,514,514,514,514,514,514,514,514
vigour,327,19,19,19,19,19,19,19,19,19
powerstar,326,19,19,19,19,19,19,19,19,19
latest,316,268,268,268,268,268,268,268,268,268
vaccin,290,179,179,179,179,179,179,179,179,179
children,283,135,135,135,135,135,135,135,135,135
canada,280,360,360,360,360,360,360,360,360,360
vacci,274,748,748,748,748,748,748,748,748,748
california,257,173,173,173,173,173,173,173,173,173
twitter,248,221,221,221,221,221,221,221,221,221
american,241,849,849,849,849,849,849,849,849,849
china,240,363,363,363,363,363,363,363,363,363
florida,239,816,816,816,816,816,816,816,816,816
clinton,234,8,8,8,8,8,8,8,8,8
corona,214,154,154,154,154,154,154,154,154,154
gonna,211,213,213,213,213,213,213,213,213,213
african,194,76,76,76,76,76,76,76,76,76
oxford,191,222,222,222,222,222,222,222,222,222
higher,169,366,366,366,366,366,366,366,366,366
africa,168,137,137,137,137,137,137,137,137,137
diarrhea,159,19,19,19,19,19,19,19,19,19
mumbai,158,33,33,33,33,33,33,33,33,33
sambal,158,19,19,19,19,19,19,19,19,19
benedict,158,22,22,22,22,22,22,22,22,22
reopen,154,148,148,148,148,148,148,148,148,148
gavinnewsom,146,143,143,143,143,143,143,143,143,143
highest,143,155,155,155,155,155,155,155,155,155
variant,143,169,169,169,169,169,169,169,169,169
frail,141,294,294,294,294,294,294,294,294,294
biotech,140,55,55,55,55,55,55,55,55,55
hegkong,136,61,61,61,61,61,61,61,61,61
labour,132,50,50,50,50,50,50,50,50,50
indian,130,148,148,148,148,148,148,148,148,148
nygovcuomo,130,126,126,126,126,126,126,126,126,126
america,130,192,192,192,192,192,192,192,192,192
coercion,130,79,79,79,79,79,79,79,79,79
cannot,125,223,223,223,223,223,223,223,223,223
ireland,121,78,78,78,78,78,78,78,78,78
women,120,152,152,152,152,152,152,152,152,152
ontario,119,153,153,153,153,153,153,153,153,153
taken,119,153,153,153,153,153,153,153,153,153
vatican,118,15,15,15,15,15,15,15,15,15
bharat,116,102,102,102,102,102,102,102,102,102
trudeau,116,203,203,203,203,203,203,203,203,203
polio,112,118,118,118,118,118,118,118,118,118
covishield,111,132,132,132,132,132,132,132,132,132
alberta,110,125,125,125,125,125,125,125,125,125
largest,107,229,229,229,229,229,229,229,229,229
claimed,102,18,18,18,18,18,18,18,18,18
21wire,100,94,94,94,94,94,94,94,94,94
spivak,94,21,21,21,21,21,21,21,21,21
london,93,58,58,58,58,58,58,58,58,58
younger,90,23,23,23,23,23,23,23,23,23
dollar,88,46,46,46,46,46,46,46,46,46
narendramodi,86,950,950,950,950,950,950,950,950,950
thats,83,97,97,97,97,97,97,97,97,97
cdcgov,81,253,253,253,253,253,253,253,253,253
nhsengland,80,59,59,59,59,59,59,59,59,59
spain,79,40,40,40,40,40,40,40,40,40
shandro,78,44,44,44,44,44,44,44,44,44
publix,78,834,834,834,834,834,834,834,834,834
brazilian,78,64,64,64,64,64,64,64,64,64
further,77,76,76,76,76,76,76,76,76,76
biggest,76,160,160,160,160,160,160,160,160,160
struck,73,79,79,79,79,79,79,79,79,79
