facebook,3240,259,259,259,259,259,259,259,259,259
astrazeneca,2917,482,482,482,482,482,482,482,482,482
bharat,2822,898,898,898,898,898,898,898,898,898
had,2419,2425,2425,2425,2425,2425,2425,2425,2425,2425
trump,1536,960,960,960,960,960,960,960,960,960
israel,1473,762,762,762,762,762,762,762,762,762
modi,897,599,599,599,599,599,599,599,599,599
100,860,393,393,393,393,393,393,393,393,393
africa,853,250,250,250,250,250,250,250,250,250
borisjohnson,781,438,438,438,438,438,438,438,438,438
gave,772,341,341,341,341,341,341,341,341,341
shown,672,103,103,103,103,103,103,103,103,103
shamuskhan,600,54,54,54,54,54,54,54,54,54
true,596,330,330,330,330,330,330,330,330,330
presidentshi,574,26,26,26,26,26,26,26,26,26
nygovcuomo,571,559,559,559,559,559,559,559,559,559
pinker,543,22,22,22,22,22,22,22,22,22
drdavidsamadi,528,161,161,161,161,161,161,161,161,161
paracetam,522,33,33,33,33,33,33,33,33,33
flu,488,419,419,419,419,419,419,419,419,419
tweet,478,244,244,244,244,244,244,244,244,244
african,432,183,183,183,183,183,183,183,183,183
thei,405,123,123,123,123,123,123,123,123,123
nhsengland,392,46,46,46,46,46,46,46,46,46
ontario,379,381,381,381,381,381,381,381,381,381
largest,371,284,284,284,284,284,284,284,284,284
ezraklein,363,38,38,38,38,38,38,38,38,38
sent,355,104,104,104,104,104,104,104,104,104
covishield,355,59,59,59,59,59,59,59,59,59
realdonaldtrump,352,192,192,192,192,192,192,192,192,192
doc,348,190,190,190,190,190,190,190,190,190
shekhargupta,326,43,43,43,43,43,43,43,43,43
krishna,319,47,47,47,47,47,47,47,47,47
heard,317,161,161,161,161,161,161,161,161,161
led,314,261,261,261,261,261,261,261,261,261
nicolasturgeon,302,55,55,55,55,55,55,55,55,55
pbhushan1,300,379,379,379,379,379,379,379,379,379
devisridhar,299,87,87,87,87,87,87,87,87,87
queue,281,60,60,60,60,60,60,60,60,60
ppl,276,134,134,134,134,134,134,134,134,134
scotland,273,124,124,124,124,124,124,124,124,124
jbarro,272,24,24,24,24,24,24,24,24,24
transcript,264,1,1,1,1,1,1,1,1,1
abo,264,15,15,15,15,15,15,15,15,15
mariofusco,263,177,177,177,177,177,177,177,177,177
useless,260,56,56,56,56,56,56,56,56,56
app,253,107,107,107,107,107,107,107,107,107
benjysarlin,252,1,1,1,1,1,1,1,1,1
cyril,250,44,44,44,44,44,44,44,44,44
mice,246,10,10,10,10,10,10,10,10,10
ramp,246,62,62,62,62,62,62,62,62,62
women,242,127,127,127,127,127,127,127,127,127
syrian,241,10,10,10,10,10,10,10,10,10
mbuyisenindlozi,240,25,25,25,25,25,25,25,25,25
level5,236,6,6,6,6,6,6,6,6,6
awonderland,234,9,9,9,9,9,9,9,9,9
ford,231,231,231,231,231,231,231,231,231,231
zero,228,158,158,158,158,158,158,158,158,158
globalhlthtwit,226,17,17,17,17,17,17,17,17,17
ltc,217,154,154,154,154,154,154,154,154,154
cov,216,74,74,74,74,74,74,74,74,74
isawken,216,431,431,431,431,431,431,431,431,431
moja,214,7,7,7,7,7,7,7,7,7
akhilesh,213,63,63,63,63,63,63,63,63,63
ivermectin,209,60,60,60,60,60,60,60,60,60
laid,204,52,52,52,52,52,52,52,52,52
british,204,196,196,196,196,196,196,196,196,196
peston,204,105,105,105,105,105,105,105,105,105
lol,203,124,124,124,124,124,124,124,124,124
thats,202,97,97,97,97,97,97,97,97,97
telegraph,197,40,40,40,40,40,40,40,40,40
caught,190,55,55,55,55,55,55,55,55,55
dvznzaabjd,189,59,59,59,59,59,59,59,59,59
spent,187,64,64,64,64,64,64,64,64,64
scott,186,50,50,50,50,50,50,50,50,50
gauravpandhi,184,78,78,78,78,78,78,78,78,78
cnfmc8fiu6,183,31,31,31,31,31,31,31,31,31
bbc,181,76,76,76,76,76,76,76,76,76
2022,179,40,40,40,40,40,40,40,40,40
astraz,179,15,15,15,15,15,15,15,15,15
knew,177,67,67,67,67,67,67,67,67,67
guardian,177,72,72,72,72,72,72,72,72,72
gazab,176,19,19,19,19,19,19,19,19,19
longer,167,148,148,148,148,148,148,148,148,148
300,163,38,38,38,38,38,38,38,38,38
chrismurphyct,163,24,24,24,24,24,24,24,24,24
nee,160,33,33,33,33,33,33,33,33,33
adarpoonawalla,160,40,40,40,40,40,40,40,40,40
1000,158,44,44,44,44,44,44,44,44,44
befo,157,7,7,7,7,7,7,7,7,7
nhsuk,155,114,114,114,114,114,114,114,114,114
bori,155,8,8,8,8,8,8,8,8,8
nebraska,151,201,201,201,201,201,201,201,201,201
oxfordvacgroup,149,4,4,4,4,4,4,4,4,4
shefvaidya,145,15,15,15,15,15,15,15,15,15
usa,143,108,108,108,108,108,108,108,108,108
neilclark66,143,31,31,31,31,31,31,31,31,31
doug,142,130,130,130,130,130,130,130,130,130
iandunt,142,184,184,184,184,184,184,184,184,184
benshapiro,141,29,29,29,29,29,29,29,29,29
mkhize,141,20,20,20,20,20,20,20,20,20
thi,140,51,51,51,51,51,51,51,51,51
alert,140,126,126,126,126,126,126,126,126,126
everyth,139,192,192,192,192,192,192,192,192,192
sold,139,17,17,17,17,17,17,17,17,17
fatemperor,138,39,39,39,39,39,39,39,39,39
libt,138,3,3,3,3,3,3,3,3,3
russia,137,90,90,90,90,90,90,90,90,90
brought,135,203,203,203,203,203,203,203,203,203
