covid,9293,10152,10152,10152,10152,10152,10152,10152,10152,10152
pfizer,1765,1198,1198,1198,1198,1198,1198,1198,1198,1198
astrazeneca,1695,849,849,849,849,849,849,849,849,849
moderna,963,1189,1189,1189,1189,1189,1189,1189,1189,1189
scotland,862,415,415,415,415,415,415,415,415,415
fuasawlsxn,569,399,399,399,399,399,399,399,399,399
sputnik,537,221,221,221,221,221,221,221,221,221
covax,500,681,681,681,681,681,681,681,681,681
biden,485,412,412,412,412,412,412,412,412,412
hancock,412,42,42,42,42,42,42,42,42,42
russian,393,117,117,117,117,117,117,117,117,117
israel,334,433,433,433,433,433,433,433,433,433
novavax,328,149,149,149,149,149,149,149,149,149
china,313,199,199,199,199,199,199,199,199,199
latest,299,303,303,303,303,303,303,303,303,303
thelancet,260,28,28,28,28,28,28,28,28,28
vacci,215,206,206,206,206,206,206,206,206,206
lockdown,212,326,326,326,326,326,326,326,326,326
pakistan,206,108,108,108,108,108,108,108,108,108
africa,191,170,170,170,170,170,170,170,170,170
alexberenson,188,272,272,272,272,272,272,272,272,272
corona,182,105,105,105,105,105,105,105,105,105
outbreak,163,38,38,38,38,38,38,38,38,38
fauci,163,272,272,272,272,272,272,272,272,272
infect,161,91,91,91,91,91,91,91,91,91
sputnikv,159,49,49,49,49,49,49,49,49,49
polio,155,78,78,78,78,78,78,78,78,78
canadian,152,66,66,66,66,66,66,66,66,66
davidson,137,13,13,13,13,13,13,13,13,13
oregon,135,86,86,86,86,86,86,86,86,86
cdcdirector,130,89,89,89,89,89,89,89,89,89
reopen,126,420,420,420,420,420,420,420,420,420
french,120,93,93,93,93,93,93,93,93,93
juliahb1,119,69,69,69,69,69,69,69,69,69
scottish,118,115,115,115,115,115,115,115,115,115
taken,116,261,261,261,261,261,261,261,261,261
brexit,113,115,115,115,115,115,115,115,115,115
america,112,260,260,260,260,260,260,260,260,260
aslavitt46,105,65,65,65,65,65,65,65,65,65
harper,102,67,67,67,67,67,67,67,67,67
oakland,101,32,32,32,32,32,32,32,32,32
jburnmurdoch,98,99,99,99,99,99,99,99,99,99
reckless,97,22,22,22,22,22,22,22,22,22
lowest,96,117,117,117,117,117,117,117,117,117
women,91,148,148,148,148,148,148,148,148,148
parliament,90,27,27,27,27,27,27,27,27,27
breesanna,90,12,12,12,12,12,12,12,12,12
higher,89,79,79,79,79,79,79,79,79,79
australia,88,186,186,186,186,186,186,186,186,186
gonna,86,100,100,100,100,100,100,100,100,100
wrote,82,54,54,54,54,54,54,54,54,54
thesnp,80,48,48,48,48,48,48,48,48,48
propaganda,78,47,47,47,47,47,47,47,47,47
pasco,75,55,55,55,55,55,55,55,55,55
email,74,67,67,67,67,67,67,67,67,67
starmer,73,86,86,86,86,86,86,86,86,86
admin,68,49,49,49,49,49,49,49,49,49
davidkurten,68,60,60,60,60,60,60,60,60,60
zeneca,68,53,53,53,53,53,53,53,53,53
andrew,66,51,51,51,51,51,51,51,51,51
rihanna,64,12,12,12,12,12,12,12,12,12
gibraltar,63,13,13,13,13,13,13,13,13,13
urgent,62,63,63,63,63,63,63,63,63,63
erictopol,59,54,54,54,54,54,54,54,54,54
bronx,58,291,291,291,291,291,291,291,291,291
msnbc,56,78,78,78,78,78,78,78,78,78
donkamion78,56,56,56,56,56,56,56,56,56,56
david,55,41,41,41,41,41,41,41,41,41
sarscov2,55,19,19,19,19,19,19,19,19,19
cagovernor,55,18,18,18,18,18,18,18,18,18
palestinian,54,34,34,34,34,34,34,34,34,34
poorer,53,74,74,74,74,74,74,74,74,74
spanish,50,19,19,19,19,19,19,19,19,19
spoke,48,49,49,49,49,49,49,49,49,49
apartheid,48,36,36,36,36,36,36,36,36,36
swiss,47,48,48,48,48,48,48,48,48,48
rates,46,75,75,75,75,75,75,75,75,75
talkradio,46,68,68,68,68,68,68,68,68,68
vaxxer,44,31,31,31,31,31,31,31,31,31
vaccinatio,43,41,41,41,41,41,41,41,41,41
vaccinat,43,42,42,42,42,42,42,42,42,42
sluggish,42,40,40,40,40,40,40,40,40,40
pritipatel,41,23,23,23,23,23,23,23,23,23
vaxart,40,29,29,29,29,29,29,29,29,29
inject,40,31,31,31,31,31,31,31,31,31
carolina,39,15,15,15,15,15,15,15,15,15
bullshit,38,47,47,47,47,47,47,47,47,47
bigpharma,38,15,15,15,15,15,15,15,15,15
nhsuk,37,71,71,71,71,71,71,71,71,71
greatreset,37,42,42,42,42,42,42,42,42,42
albomp,36,37,37,37,37,37,37,37,37,37
theeconomist,36,34,34,34,34,34,34,34,34,34
japan,35,48,48,48,48,48,48,48,48,48
sweden,35,80,80,80,80,80,80,80,80,80
caution,35,15,15,15,15,15,15,15,15,15
idiot,35,37,37,37,37,37,37,37,37,37
products,33,0,0,0,0,0,0,0,0,0
scott,33,82,82,82,82,82,82,82,82,82
wanna,32,28,28,28,28,28,28,28,28,28
pmoindia,32,24,24,24,24,24,24,24,24,24
piersmorgan,31,12,12,12,12,12,12,12,12,12
denmark,30,60,60,60,60,60,60,60,60,60
easier,30,80,80,80,80,80,80,80,80,80
smallpox,30,26,26,26,26,26,26,26,26,26
sooner,30,19,19,19,19,19,19,19,19,19
thats,29,71,71,71,71,71,71,71,71,71
geoffreyyork,29,85,85,85,85,85,85,85,85,85
dashboard,29,12,12,12,12,12,12,12,12,12
washington,29,31,31,31,31,31,31,31,31,31
zerocovid,28,8,8,8,8,8,8,8,8,8
prguy17,28,0,0,0,0,0,0,0,0,0
built,27,19,19,19,19,19,19,19,19,19
chose,27,54,54,54,54,54,54,54,54,54
gotta,27,37,37,37,37,37,37,37,37,37
dubsndoo,27,40,40,40,40,40,40,40,40,40
batch,26,62,62,62,62,62,62,62,62,62
cansino,26,6,6,6,6,6,6,6,6,6
torontostar,26,21,21,21,21,21,21,21,21,21
spike,25,18,18,18,18,18,18,18,18,18
forgotten,24,13,13,13,13,13,13,13,13,13
politico,24,26,26,26,26,26,26,26,26,26
michigan,24,13,13,13,13,13,13,13,13,13
influenza,22,24,24,24,24,24,24,24,24,24
bbcworld,22,3,3,3,3,3,3,3,3,3
irish,22,24,24,24,24,24,24,24,24,24
