Term,TF-IDF
you,0.0028448433
have,0.0027581418
vaccination,0.002721815
will,0.0026144271
this,0.0026105868
not,0.002607738
are,0.002563534
from,0.0025281124
india,0.002467272
that,0.002455144
was,0.002436484
people,0.0024227481
with,0.0023295193
get,0.002324285
plan,0.002306984
who,0.0022870828
for,0.0022868644
they,0.0022844283
all,0.002229203
out,0.0021862735
about,0.0021722133
covid,0.0021153272
after,0.0021053203
today,0.002063397
has,0.00203634
now,0.0020232168
biden,0.0020220857
just,0.0020034914
its,0.0019807275
trump,0.0019799005
rollout,0.0019422201
first,0.0019358239
there,0.0019347632
more,0.0019230323
how,0.0019077769
pfizer,0.0018979154
doses,0.0018821432
amp,0.0018795572
what,0.0018642925
been,0.0018039345
our,0.0017858567
but,0.0017779863
covid19,0.0017201559
why,0.001711155
dose,0.0016896119
narendramodi,0.0016707208
one,0.0016568281
vaccines,0.0016313721
health,0.0016218877
can,0.001594321
superheroes,0.0015931205
your,0.0015916066
coronavirus,0.0015908077
dont,0.0015888386
his,0.0015547698
vaccinated,0.0015460992
were,0.0015411034
and,0.0015292764
had,0.0015111561
their,0.0014923714
new,0.0014920543
drive,0.0014768093
when,0.0014532043
going,0.001447581
like,0.0014324324
got,0.0013998508
day,0.0013887411
because,0.0013615655
over,0.0013408021
need,0.0013388136
government,0.001337225
take,0.0013098911
would,0.0012796845
should,0.0012773453
only,0.0012624285
being,0.0012623449
week,0.0012516197
getting,0.0012493362
administration,0.0012428052
under,0.0012368507
states,0.001197694
says,0.0011884359
thank,0.0011758567
news,0.0011751761
than,0.0011688555
distribution,0.0011684784
nhs,0.0011660027
please,0.0011591556
days,0.0011558858
set,0.0011552335
norway,0.0011526782
know,0.0011459936
other,0.0011395925
president,0.001132715
before,0.0011210369
worlds,0.0011203801
some,0.001111226
received,0.0011038501
world,0.0010959525
many,0.0010947771
against,0.0010597985
good,0.0010501443
live,0.0010430166
currently,0.0010275472
united,0.0010239808
said,0.0010185298
thats,0.0010161772
largestvaccinedrive,0.0010115107
very,0.0010084604
million,0.0010082196
see,0.0010049427
well,9.981561E-4
them,9.914994E-4
time,9.875366E-4
giving,9.84965E-4
deaths,9.844329E-4
workers,9.7307755E-4
fauci,9.6746173E-4
still,9.6469285E-4
hes,9.585725E-4
breaking,9.512036E-4
2021,9.474502E-4
say,9.4719254E-4
even,9.32555E-4
largest,9.292116E-4
community,9.248168E-4
across,9.2075934E-4
reserve,9.173137E-4
here,9.15403E-4
vaccinate,9.153798E-4
state,9.143765E-4
did,9.1191364E-4
any,9.109617E-4
make,9.103983E-4
message,9.0996554E-4
staff,9.082956E-4
pandemic,9.0660725E-4
angeodinsdottir,9.063393E-4
lpy2n5k1zg,9.0593676E-4
100,9.052178E-4
joe,9.0475037E-4
2nd,9.009323E-4
never,8.9529244E-4
govt,8.934756E-4
kamalaharris,8.9303765E-4
two,8.9163915E-4
each,8.911401E-4
which,8.862E-4
little,8.8529784E-4
think,8.815461E-4
she,8.7679067E-4
officials,8.767301E-4
second,8.696817E-4
boys,8.667715E-4
enough,8.6609623E-4
most,8.628951E-4
growing,8.5918524E-4
virus,8.5805694E-4
year,8.4882765E-4
old,8.460626E-4
joebiden,8.4100716E-4
failed,8.402644E-4
youre,8.372267E-4
want,8.3719916E-4
those,8.32423E-4
safe,8.315121E-4
launch,8.3069195E-4
care,8.251948E-4
walk,8.241626E-4
country,8.189648E-4
back,8.140893E-4
roll,8.1149186E-4
really,8.07785E-4
county,8.0699177E-4
dream,8.0275675E-4
free,8.009577E-4
countries,7.991552E-4
again,7.9209503E-4
receive,7.889015E-4
great,7.867119E-4
already,7.8479527E-4
into,7.8448385E-4
another,7.744426E-4
her,7.740526E-4
national,7.7369565E-4
could,7.735771E-4
cdc,7.7168987E-4
lying,7.696353E-4
where,7.681812E-4
let,7.681643E-4
receiving,7.637112E-4
work,7.601176E-4
legend,7.59719E-4
help,7.563033E-4
given,7.559983E-4
also,7.555535E-4
saw,7.555371E-4
last,7.547959E-4
told,7.48119E-4
anti,7.475984E-4
use,7.4658956E-4
give,7.457884E-4
real,7.4300694E-4
then,7.428224E-4
death,7.4105273E-4
every,7.3924125E-4
girls,7.342256E-4
while,7.303132E-4
zombie,7.285176E-4
homeless,7.2833337E-4
bidens,7.2716887E-4
cant,7.269845E-4
doctors,7.259193E-4
apocalypse,7.2559767E-4
caring,7.219617E-4
right,7.205842E-4
supply,7.1963697E-4
heatnextdraft1,7.188347E-4
hwjwddgfil,7.1536185E-4
weeks,7.145398E-4
big,7.128864E-4
shot,7.077624E-4
minister,7.074925E-4
died,7.057007E-4
bridge,7.0222525E-4
line,7.009231E-4
public,6.970303E-4
home,6.959558E-4
covidvaccine,6.947461E-4
yet,6.9349754E-4
healthcare,6.9187983E-4
data,6.915391E-4
does,6.8938703E-4
speaking,6.880101E-4
taking,6.877795E-4
january,6.869437E-4
media,6.864341E-4
mask,6.86103E-4
way,6.8594486E-4
wait,6.8593887E-4
man,6.836366E-4
sign,6.799348E-4
much,6.7806785E-4
may,6.7748735E-4
speed,6.7561545E-4
these,6.7560765E-4
israel,6.7550846E-4
working,6.746906E-4
federal,6.655838E-4
put,6.607791E-4
shots,6.5968843E-4
lilnasx,6.590946E-4
soon,6.5801316E-4
announced,6.56004E-4
via,6.5396976E-4
begin,6.531386E-4
come,6.5298594E-4
spoon,6.5156346E-4
mrna,6.512688E-4
ethnyagami,6.5007043E-4
keep,6.4894883E-4
warming,6.486538E-4
doing,6.4854644E-4
guys,6.451542E-4
indias,6.4446963E-4
china,6.437358E-4
doesnt,6.375916E-4
isnt,6.374521E-4
die,6.3533953E-4
hospital,6.338482E-4
lives,6.33191E-4
video,6.321023E-4
end,6.306053E-4
cnn,6.2980957E-4
jab,6.287299E-4
drericding,6.282038E-4
eligible,6.2748883E-4
response,6.239782E-4
everyone,6.228195E-4
medical,6.212791E-4
important,6.1884196E-4
must,6.1748707E-4
asked,6.1583583E-4
years,6.1558967E-4
start,6.131908E-4
made,6.0995325E-4
next,6.0907897E-4
production,6.037039E-4
evuzf34wbh,6.032414E-4
sources,6.001181E-4
azar,5.972587E-4
hope,5.971388E-4
needs,5.937883E-4
part,5.934213E-4
trumps,5.918481E-4
test,5.880004E-4
join,5.8693613E-4
having,5.859859E-4
population,5.854388E-4
few,5.84675E-4
stop,5.831903E-4
vax,5.742475E-4
too,5.7390874E-4
due,5.731899E-4
effective,5.73138E-4
long,5.724448E-4
thanks,5.723175E-4
aiims,5.7124306E-4
tomorrow,5.7107775E-4
hear,5.704418E-4
ill,5.683793E-4
phase,5.6811824E-4
yesterday,5.6789257E-4
person,5.671237E-4
left,5.664571E-4
florida,5.630824E-4
moderna,5.607247E-4
malaykaridwan,5.5953284E-4
act,5.5770134E-4
inheriting,5.5333215E-4
during,5.530549E-4
same,5.4948044E-4
allow,5.4759585E-4
warp,5.4568023E-4
pan,5.438915E-4
read,5.424772E-4
brazil,5.416189E-4
absolutely,5.4104894E-4
global,5.400062E-4
months,5.39542E-4
jujuliagrace,5.3537404E-4
elderly,5.3533755E-4
anyone,5.3514726E-4
frontline,5.34756E-4
administered,5.345136E-4
place,5.332608E-4
amazon,5.3162634E-4
tell,5.2898127E-4
modi,5.2888104E-4
residents,5.280136E-4
vaccinations,5.278167E-4
science,5.263096E-4
lets,5.258389E-4
down,5.250748E-4
wear,5.2385393E-4
watch,5.223192E-4
sure,5.2172726E-4
far,5.157323E-4
operation,5.1557587E-4
post,5.1550416E-4
delhi,5.1544537E-4
yes,5.1381E-4
mass,5.1259954E-4
took,5.0913816E-4
scientists,5.087436E-4
side,5.080133E-4
hours,5.078241E-4
report,5.063748E-4
nation,5.061578E-4
full,5.0545274E-4
until,5.052182E-4
didnt,5.0442736E-4
someone,5.032625E-4
fact,5.026998E-4
defense,5.0252245E-4
social,5.013779E-4
times,5.006433E-4
risk,5.005958E-4
