Term,TF-IDF
you,0.0013603617
that,0.0012414933
has,0.0011986522
are,0.0011817383
get,0.0011810167
with,0.0011746875
amp,0.0011461641
have,0.0011431763
this,0.0011297906
not,0.0011174481
people,0.0010752478
but,0.0010750312
one,0.0010733956
from,0.001069335
for,0.0010658621
vaccination,0.0010582716
they,0.0010542977
vaccines,0.0010535351
its,0.0010335639
was,0.001006162
when,9.7472116E-4
just,9.458995E-4
doses,9.2568895E-4
will,9.208917E-4
who,9.197924E-4
about,9.004981E-4
pandemic,8.891468E-4
more,8.699641E-4
could,8.594003E-4
all,8.578954E-4
covid,8.5656374E-4
how,8.446028E-4
been,8.2504685E-4
should,8.2316704E-4
covid19,7.9652265E-4
million,7.9455215E-4
our,7.9322973E-4
their,7.895584E-4
first,7.8903325E-4
new,7.7899644E-4
your,7.73731E-4
would,7.716951E-4
johnson,7.684752E-4
now,7.6787954E-4
out,7.6485984E-4
what,7.599554E-4
can,7.529712E-4
had,7.4887346E-4
over,7.3699735E-4
why,7.335525E-4
after,7.3273364E-4
dont,7.128453E-4
teachers,7.0093886E-4
take,7.007258E-4
were,6.987026E-4
pfizer,6.9709687E-4
need,6.9644477E-4
and,6.8671687E-4
dose,6.8195944E-4
vaccinate,6.8067695E-4
moderna,6.666711E-4
news,6.633212E-4
got,6.630073E-4
because,6.6147355E-4
cant,6.577428E-4
make,6.4996566E-4
biden,6.4559624E-4
getting,6.4499106E-4
like,6.430913E-4
health,6.328543E-4
vaccinated,6.24984E-4
workers,6.1906525E-4
there,6.184616E-4
against,6.1810197E-4
other,6.176605E-4
than,6.122555E-4
astrazeneca,6.072024E-4
good,6.0706906E-4
two,5.9769774E-4
today,5.9172977E-4
virus,5.8214733E-4
only,5.809717E-4
his,5.778017E-4
even,5.746258E-4
still,5.72813E-4
effective,5.7152036E-4
these,5.700502E-4
many,5.6352885E-4
want,5.619393E-4
know,5.6022365E-4
everyone,5.5743766E-4
coronavirus,5.566113E-4
says,5.558304E-4
site,5.5295177E-4
government,5.52686E-4
before,5.3914875E-4
being,5.3308794E-4
rollout,5.3197285E-4
back,5.3097465E-4
some,5.19556E-4
time,5.1782106E-4
week,5.1751436E-4
think,5.173799E-4
them,5.11737E-4
world,5.0837774E-4
india,5.0703826E-4
those,5.0106144E-4
plan,5.0080044E-4
anti,4.990851E-4
down,4.968678E-4
well,4.893036E-4
presidentshi,4.891996E-4
administration,4.8905256E-4
share,4.8422813E-4
shot,4.833334E-4
doesnt,4.823026E-4
day,4.8106743E-4
year,4.7992278E-4
effectiveness,4.7413624E-4
deadly,4.705676E-4
said,4.6684773E-4
also,4.6630006E-4
data,4.6326136E-4
enough,4.608254E-4
going,4.6056442E-4
see,4.546357E-4
most,4.540987E-4
last,4.5386577E-4
receive,4.5249728E-4
say,4.4880537E-4
into,4.4552854E-4
right,4.4375125E-4
instead,4.3774952E-4
which,4.3677492E-4
countries,4.3479152E-4
efficacy,4.3276322E-4
her,4.272073E-4
here,4.213043E-4
vax,4.1858116E-4
help,4.1742218E-4
any,4.1634575E-4
where,4.142795E-4
home,4.0995082E-4
give,4.0912128E-4
oxford,4.0848623E-4
distribute,4.082433E-4
100,4.06183E-4
did,4.0547847E-4
care,4.042245E-4
exists,4.020711E-4
capitalism,4.0149316E-4
canada,4.0035293E-4
create,3.9881002E-4
public,3.9872198E-4
proustmalone,3.9592534E-4
pharm,3.9580348E-4
really,3.9316432E-4
she,3.9192344E-4
cases,3.9043522E-4
phase,3.856447E-4
tell,3.842092E-4
very,3.8126507E-4
thought,3.7971654E-4
made,3.791932E-4
every,3.785864E-4
open,3.7682077E-4
never,3.7498027E-4
own,3.7372008E-4
received,3.7090367E-4
state,3.704845E-4
states,3.6943128E-4
old,3.6925328E-4
around,3.6856858E-4
breaking,3.6676927E-4
rich,3.6659912E-4
wont,3.6648003E-4
absolutely,3.6594155E-4
far,3.6558261E-4
single,3.6142065E-4
weeks,3.6045467E-4
great,3.6005815E-4
via,3.5886437E-4
saying,3.583548E-4
south,3.5758692E-4
days,3.56491E-4
medical,3.5563984E-4
president,3.5456257E-4
stadium,3.533804E-4
mass,3.5221266E-4
please,3.5154622E-4
years,3.5080963E-4
then,3.4775917E-4
important,3.470481E-4
deaths,3.4410376E-4
while,3.424653E-4
way,3.4212152E-4
much,3.4180438E-4
may,3.410156E-4
trump,3.4003076E-4
check,3.392131E-4
story,3.3912165E-4
second,3.379072E-4
eligible,3.3782262E-4
schools,3.3710292E-4
does,3.3680134E-4
use,3.3512554E-4
best,3.315685E-4
restaurant,3.2897037E-4
country,3.2683677E-4
told,3.2637754E-4
global,3.2618857E-4
showing,3.2390267E-4
trial,3.238096E-4
work,3.2356265E-4
aidilarazak,3.234918E-4
hard,3.229143E-4
thats,3.226159E-4
fa9v6wgbbz,3.2219655E-4
population,3.2180714E-4
appointment,3.2059065E-4
end,3.194614E-4
mask,3.180829E-4
novavax,3.1717334E-4
given,3.1651856E-4
mrna,3.159487E-4
distribution,3.157654E-4
youre,3.1558276E-4
must,3.14851E-4
available,3.147871E-4
side,3.1365157E-4
trudeau,3.112953E-4
already,3.1026325E-4
risk,3.094376E-4
yet,3.082302E-4
too,3.067896E-4
americans,3.057233E-4
missing,3.0444682E-4
donaldjtrumpjr,3.038444E-4
hope,3.0229185E-4
money,3.005416E-4
keep,3.0018206E-4
scotland,2.998724E-4
vaccinations,2.9691216E-4
variants,2.9665075E-4
shots,2.9662056E-4
isnt,2.9648855E-4
sites,2.9629E-4
black,2.9622004E-4
free,2.9556788E-4
under,2.9523665E-4
israel,2.913506E-4
stop,2.9113214E-4
maybe,2.908759E-4
opened,2.901425E-4
production,2.8976362E-4
county,2.895992E-4
staff,2.878722E-4
roll,2.8749558E-4
doing,2.871844E-4
nhs,2.8693135E-4
thank,2.867369E-4
officials,2.8669336E-4
post,2.862934E-4
thing,2.8598806E-4
yesterday,2.8526632E-4
team,2.8466134E-4
haitianbhaddie,2.843765E-4
potus,2.8432935E-4
safe,2.8428625E-4
rebeccalacey,2.8415676E-4
administered,2.8331298E-4
needs,2.819223E-4
wnimw4rqao,2.8160636E-4
programme,2.797284E-4
minister,2.7946726E-4
white,2.7945143E-4
anyone,2.7842305E-4
another,2.781094E-4
same,2.7809426E-4
let,2.7793704E-4
making,2.7755153E-4
study,2.7704425E-4
until,2.766137E-4
nations,2.765449E-4
next,2.7607774E-4
covax,2.7559692E-4
both,2.7472986E-4
life,2.746793E-4
africa,2.7378148E-4
positive,2.7335796E-4
taking,2.7281785E-4
theres,2.717492E-4
manufacturers,2.7146292E-4
didnt,2.7135035E-4
again,2.7108082E-4
terrorists,2.7053806E-4
long,2.6998227E-4
results,2.6983692E-4
1400,2.6961757E-4
brought,2.6958436E-4
supply,2.6564504E-4
outdoor,2.652384E-4
kaykmtz,2.6428918E-4
line,2.642443E-4
dinning,2.6333868E-4
less,2.631256E-4
astrazenecas,2.6193648E-4
off,2.6120592E-4
residents,2.6070385E-4
pharma,2.6048996E-4
moments,2.587382E-4
trying,2.5865107E-4
big,2.576363E-4
able,2.5736456E-4
something,2.5733345E-4
shut,2.5730737E-4
drericding,2.5711313E-4
read,2.5692896E-4
dodger,2.5654252E-4
ive,2.5550407E-4
working,2.5484187E-4
trials,2.5479821E-4
taylorinchief,2.5461163E-4
radicalize,2.544562E-4
yes,2.5443645E-4
variant,2.5436337E-4
through,2.5419932E-4
look,2.5370554E-4
wrong,2.522333E-4
acc,2.5223105E-4
media,2.5182407E-4
per,2.5181947E-4
shortage,2.517848E-4
jollenelevid,2.5065968E-4
done,2.5036823E-4
wear,2.503681E-4
better,2.4994413E-4
severe,2.4966968E-4
hell,2.4932233E-4
shows,2.489283E-4
plus,2.4884686E-4
high,2.4860544E-4
covidvaccine,2.4743305E-4
part,2.4737432E-4
system,2.4718558E-4
theyre,2.4675828E-4
exist,2.4668235E-4
american,2.4655662E-4
add,2.4554352E-4
protection,2.4399186E-4
start,2.4368109E-4
ireland,2.4187389E-4
lot,2.4166159E-4
live,2.4153964E-4
dozens,2.41127E-4
sputnik,2.4105387E-4
rate,2.4085134E-4
effects,2.397711E-4
update,2.3873932E-4
months,2.3823968E-4
capacity,2.3751949E-4
access,2.3654471E-4
jab,2.3647446E-4
having,2.357823E-4
design,2.351425E-4
radicaliz,2.3504614E-4
between,2.3370638E-4
lets,2.3356192E-4
ago,2.332309E-4
america,2.3214475E-4
number,2.3168017E-4
age,2.316663E-4
try,2.3095266E-4
someone,2.3000319E-4
ppl,2.2956998E-4
apparently,2.2925028E-4
show,2.2913203E-4
left,2.2767764E-4
put,2.2708581E-4
least,2.2692417E-4
russian,2.268925E-4
brexit,2.2657313E-4
healthcare,2.2656724E-4
office,2.2655906E-4
death,2.2614523E-4
folks,2.2540089E-4
1st,2.2528203E-4
2021,2.2505829E-4
publix,2.2380114E-4
wouldnt,2.23748E-4
believe,2.233388E-4
top,2.2309241E-4
true,2.2307225E-4
impcompetance,2.2259098E-4
report,2.218914E-4
pfizers,2.2129055E-4
sure,2.2110078E-4
china,2.2086833E-4
since,2.2061767E-4
coming,2.2025878E-4
morning,2.184102E-4
found,2.1711538E-4
heres,2.1681449E-4
spent,2.163912E-4
drive,2.1635002E-4
confirmed,2.1604744E-4
national,2.1603913E-4
died,2.1583869E-4
protesters,2.1572612E-4
plans,2.1571029E-4
nearly,2.1443465E-4
remember,2.1438459E-4
across,2.1429744E-4
helping,2.1420493E-4
wants,2.1393027E-4
bad,2.1386142E-4
school,2.1369173E-4
govt,2.132812E-4
