Term,TF-IDF
presidentshi,4.891996E-4
you,4.859315E-4
have,4.5236797E-4
get,4.2056793E-4
who,4.204968E-4
vaccinate,4.122686E-4
not,4.0597122E-4
that,4.001858E-4
are,3.9774328E-4
enough,3.909567E-4
but,3.8840433E-4
biden,3.870552E-4
all,3.8612838E-4
people,3.7636474E-4
now,3.7469104E-4
this,3.7081764E-4
potus,3.617513E-4
with,3.6126128E-4
had,3.5961377E-4
vaccination,3.573007E-4
its,3.568561E-4
for,3.535365E-4
will,3.529001E-4
about,3.475608E-4
amp,3.4147524E-4
president,3.391622E-4
when,3.3797737E-4
has,3.3639706E-4
vaccines,3.291005E-4
doses,3.290221E-4
more,3.2845073E-4
your,3.2521557E-4
they,3.2467121E-4
fa9v6wgbbz,3.2219655E-4
was,3.128451E-4
from,3.1012183E-4
after,3.095214E-4
what,3.0596173E-4
covid,3.0410814E-4
our,2.9616916E-4
can,2.934167E-4
just,2.883326E-4
like,2.850873E-4
rebeccalacey,2.8415676E-4
over,2.8396855E-4
country,2.8094873E-4
didnt,2.7834025E-4
were,2.775394E-4
says,2.7480948E-4
weeks,2.7319195E-4
americans,2.6777526E-4
every,2.6756444E-4
one,2.665905E-4
weve,2.6461447E-4
there,2.6401808E-4
government,2.5982087E-4
three,2.588168E-4
new,2.5469507E-4
their,2.5457746E-4
been,2.5183003E-4
his,2.514064E-4
million,2.5070037E-4
covid19,2.4926156E-4
day,2.481824E-4
plan,2.4588092E-4
out,2.4567003E-4
most,2.4373143E-4
health,2.4355509E-4
first,2.4304757E-4
how,2.4224147E-4
astrazeneca,2.3999663E-4
radicaliz,2.3504614E-4
and,2.3412034E-4
purchased,2.3052828E-4
school,2.2754792E-4
dont,2.2494365E-4
addresses,2.2442728E-4
would,2.2406757E-4
impcompetance,2.2259098E-4
because,2.2026847E-4
why,2.1779825E-4
coronavirus,2.151374E-4
south,2.1507495E-4
teacher,2.1420626E-4
wikipedia,2.1387324E-4
jamiewithorne,2.1320014E-4
take,2.131891E-4
yelled,2.1273176E-4
important,2.1232659E-4
granger,2.1132942E-4
know,2.1128685E-4
took,2.1109157E-4
reliable,2.1076428E-4
ericbrownzzz,2.103125E-4
should,2.1027647E-4
rollout,2.099533E-4
getting,2.0667042E-4
ago,2.052819E-4
team,2.0408344E-4
wasnt,2.0394985E-4
than,2.0169903E-4
america,2.0143E-4
did,2.0085467E-4
everyone,2.0078092E-4
supply,1.9993358E-4
need,1.991574E-4
conspiracy,1.9885536E-4
dose,1.9863175E-4
please,1.9686161E-4
middle,1.9681295E-4
sharing,1.966782E-4
india,1.9476756E-4
builds,1.9413367E-4
got,1.9338094E-4
vaccinated,1.9250043E-4
office,1.921721E-4
