Term,TF-IDF
will,0.004156185
vaccination,0.004107699
people,0.003818648
you,0.0037711256
this,0.0037496132
are,0.0036548865
not,0.003623153
have,0.0034620399
with,0.0034311514
just,0.0033770928
that,0.0033078261
get,0.0032976058
covid,0.0031382258
was,0.003130714
for,0.0030722031
they,0.0030634375
first,0.0030574733
from,0.0030415088
its,0.0029923436
has,0.002951701
about,0.0028426773
more,0.0028405292
after,0.002837226
now,0.0027859472
what,0.002778351
india,0.0026867108
out,0.0026842316
our,0.002670493
amp,0.0026565553
all,0.0025972065
can,0.0025869664
vaccines,0.0025465018
who,0.0025413914
narendramodi,0.0025005534
dose,0.0024879463
but,0.0024802734
how,0.002471047
today,0.0024503353
vaccinated,0.0024449606
rollout,0.002437149
been,0.002402888
covid19,0.0023848577
one,0.002366254
pfizer,0.002363155
drive,0.002350511
need,0.0023470796
new,0.0023373424
dont,0.0022427386
coronavirus,0.0021856388
doses,0.002185574
why,0.0021397716
were,0.0021373539
their,0.002125492
trump,0.0021108363
set,0.0020652374
health,0.0020601489
there,0.0020600038
and,0.002023745
like,0.002009598
because,0.0020089347
government,0.0020027747
should,0.001973598
when,0.001963111
day,0.0019620333
take,0.0019521279
your,0.0019352431
would,0.0019013624
over,0.0018777805
got,0.0018760283
had,0.0018464497
week,0.0018313552
received,0.0017781536
his,0.0017637213
getting,0.0017592134
other,0.0017396273
joebiden,0.0017323346
know,0.0017242951
which,0.0017108986
than,0.001710247
before,0.001696723
news,0.0016724784
being,0.0016476248
only,0.0016471532
time,0.0016443123
vaccinate,0.0016424828
live,0.0016392437
going,0.0016221796
under,0.0016176264
please,0.0015952883
norway,0.0015652291
even,0.0015617098
many,0.0015585753
2021,0.0015450484
some,0.0015312795
workers,0.0015223717
second,0.0015130694
very,0.0014965107
january,0.0014784764
states,0.0014744747
says,0.0014706394
thats,0.001469827
she,0.0014664159
largestvaccinedrive,0.001454499
here,0.0014286562
administration,0.0014219481
against,0.0014123517
virus,0.0014098707
world,0.0013980586
them,0.0013950752
nhs,0.0013894592
plan,0.0013818791
community,0.0013807358
any,0.0013785699
worlds,0.001359765
govt,0.0013588323
failed,0.0013430889
reserve,0.0013382646
still,0.0013359432
each,0.0013202238
make,0.001319376
those,0.0013161516
want,0.0013144725
her,0.0013120869
biden,0.001307982
launch,0.0013036343
pandemic,0.0013012263
million,0.0012995568
well,0.0012952716
staff,0.001279357
into,0.0012782506
state,0.001271953
good,0.0012710659
hes,0.0012690013
said,0.0012667312
president,0.001254846
deaths,0.0012520252
then,0.001249222
care,0.001245171
every,0.001244687
2nd,0.0012347099
two,0.0012306236
safe,0.0012290186
use,0.0012271492
died,0.0012269503
free,0.0012262844
receive,0.0012222498
giving,0.0012218219
roll,0.0012214477
cant,0.0012181887
most,0.0012181855
great,0.0012129153
anti,0.0012075427
think,0.0012058105
days,0.0012015564
largest,0.001199259
enough,0.0011924595
