Term,TF-IDF
you,0.00859684
are,0.0078120125
will,0.007781221
this,0.007460781
people,0.0073775724
they,0.007292887
not,0.007136526
its,0.00701771
that,0.0070092394
with,0.0067690206
have,0.0067223627
vaccination,0.00668446
just,0.0065884097
should,0.006507577
first,0.006452515
who,0.006437097
has,0.006424259
all,0.0063756485
for,0.006365446
get,0.0063061574
out,0.0062422967
about,0.0062333248
can,0.006066148
our,0.005814805
your,0.0057738964
but,0.005772882
new,0.005755808
now,0.0057120286
from,0.0056823343
vaccines,0.0054899817
what,0.0054767374
amp,0.005458827
dont,0.0053597516
covid,0.0052902633
know,0.0052038687
charge,0.0051525044
been,0.005145744
how,0.005060045
covid19,0.0049512493
rollout,0.0049295137
need,0.00488679
was,0.0048664007
would,0.00477981
one,0.0046212897
their,0.004552237
why,0.004527223
take,0.004506018
there,0.0044913413
more,0.0044688666
doses,0.0044466634
health,0.0044306116
day,0.00442949
when,0.0044079237
only,0.0043746713
dose,0.0043520066
after,0.004283656
pfizer,0.0042687966
and,0.0042632287
being,0.004249826
vaccinate,0.004241257
had,0.0042240694
coronavirus,0.0042141867
getting,0.004130169
distribution,0.0041254982
today,0.004064807
like,0.004060614
government,0.0039457288
workers,0.0038974397
some,0.0037800416
says,0.0037694767
lockdown,0.0037585308
any,0.0037482432
his,0.0036195284
distributing,0.0035854229
were,0.0035835574
see,0.0035570047
than,0.0035430435
want,0.0035258327
news,0.0035036982
world,0.0034916345
even,0.0034655957
virus,0.0034608294
million,0.0034570633
give,0.0034560554
her,0.0034202118
work,0.0033934566
way,0.0033920566
given,0.0033674568
time,0.0033610363
over,0.0033155384
them,0.0033015672
second,0.003296541
vaccinated,0.0032634907
cant,0.0032582004
going,0.0032451183
got,0.0032432282
here,0.0032395865
which,0.0031975303
put,0.0031861356
many,0.0031766545
right,0.003147346
because,0.0031071438
must,0.0030847054
very,0.0030759065
year,0.003032389
said,0.0029983122
care,0.002983599
say,0.0029805095
state,0.0029633984
please,0.0029434883
against,0.0029299625
india,0.0029203019
good,0.0029104168
into,0.0029081362
oxford,0.0029066992
pandemic,0.002905529
country,0.002878344
off,0.0028738936
before,0.0028593263
nhs,0.0027991054
then,0.00279845
also,0.002797107
week,0.0027869202
well,0.0027813523
help,0.002772449
every,0.00274726
those,0.0027229916
these,0.0026980627
still,0.0026931688
great,0.0026680771
staff,0.0026586524
use,0.0026433638
bharat,0.0026407836
roll,0.002640722
does,0.0026406203
think,0.0026394697
make,0.0026293378
received,0.0026189147
johnson,0.002618433
receive,0.0025912838
most,0.0025642246
two,0.0024987499
end,0.0024973867
thats,0.002460382
while,0.0024368728
really,0.0024354586
anti,0.0024336108
trump,0.0024139613
public,0.0024117522
everything,0.0023983764
groups,0.0023975947
other,0.0023813876
safe,0.0023657978
could,0.002359496
stop,0.0023481357
israel,0.0023425082
she,0.0023374732
covaxin,0.002316673
half,0.0023009577
minister,0.0022943013
breaking,0.0022859357
medical,0.0022838765
giving,0.0022775622
start,0.0022767067
weeks,0.0022692434
moderna,0.0022629686
days,0.0022579897
vax,0.0022470464
done,0.0022467996
months,0.0022353115
cuomo,0.002231471
biotech,0.0022220865
made,0.0021960551
govt,0.002192607
where,0.0021910577
too,0.0021890914
next,0.002186257
let,0.0021856513
astrazeneca,0.0021758075
january,0.002172939
mrna,0.0021548304
thought,0.002145238
down,0.0021348395
prom,0.0021283044
tonyferraro7,0.0021227982
around,0.0021169498
indias,0.0021087008
leadership,0.0021070845
last,0.0020960208
phase,0.0020954849
dress,0.0020902986
healthcare,0.0020724721
back,0.0020679338
anyone,0.0020657277
girls,0.0020618304
staceyabrams,0.002054376
mass,0.0020524287
2nd,0.0020522643
stanley,0.0020460736
vaccinations,0.0020367359
data,0.0020350588
organized,0.0020319351
aoc,0.002028552
facebook,0.0020154438
wed,0.0020085012
works,0.0020069706
countries,0.0020002075
home,0.001999683
available,0.0019879346
national,0.0019848424
food,0.0019842384
taking,0.001980528
high,0.0019775492
york,0.0019738167
racist,0.0019702064
deaths,0.0019690227
did,0.0019687912
already,0.0019685745
until,0.0019641663
much,0.0019556396
ensure,0.0019549583
open,0.0019510607
call,0.0019499698
everyone,0.001948157
nygovcuomo,0.0019473005
via,0.0019325255
hope,0.0019259003
thedailyshow,0.0019143168
plan,0.0019072918
long,0.0019041513
america,0.0019004486
states,0.0018859141
effective,0.0018750628
south,0.0018720023
may,0.0018642561
yet,0.0018605927
vulnerable,0.0018521606
live,0.001849702
another,0.0018496055
old,0.0018491737
imagine,0.0018467123
set,0.001843117
trust,0.0018392437
ever,0.0018387598
free,0.001827613
wait,0.0018270791
whats,0.0018268015
florida,0.0018253784
sure,0.0018144678
covidvaccine,0.0017973927
during,0.0017960414
prepare,0.0017862093
without,0.0017808937
abrams,0.0017765672
population,0.0017759835
hospitals,0.0017744306
administered,0.0017685251
stacey,0.0017660724
force,0.001759592
years,0.0017579149
risk,0.0017545
same,0.0017516925
support,0.0017485745
test,0.0017475721
clinic,0.0017449205
doing,0.0017388203
pull,0.0017360898
approved,0.0017320835
theres,0.0017304805
ive,0.0017274808
weve,0.0017273921
line,0.0017271495
person,0.0017250815
doesnt,0.0017241741
hospital,0.0017219064
monday,0.0017185467
media,0.0017169277
thing,0.0017166273
never,0.0017135123
drericding,0.0017113653
cannot,0.0017075473
both,0.0017058923
city,0.001704313
since,0.0017023418
directi,0.0017011621
2021,0.0017007036
president,0.0016990883
mollyknight,0.0016967667
again,0.0016959695
saying,0.0016930848
doctor1hundred,0.0016925093
unvaccinated,0.0016911882
biden,0.0016896889
writing,0.00168923
family,0.0016835853
biontech,0.0016824843
died,0.0016806562
vets,0.0016768759
few,0.0016689086
shot,0.0016678822
come,0.0016642764
isnt,0.0016592527
wont,0.0016535736
recruit,0.0016492301
vaccinating,0.0016458221
corona,0.0016448868
drive,0.0016439104
joking,0.0016410406
lets,0.001635857
supporters,0.001632483
joebiden,0.0016289089
patients,0.0016276506
priority,0.0016215311
better,0.0016187096
gov,0.0015944975
conspiracy,0.0015925304
