Term,TF-IDF
you,0.0010110581
get,9.221396E-4
have,9.0008276E-4
are,8.640823E-4
with,8.5387856E-4
not,8.418157E-4
vaccination,8.289831E-4
but,8.2844176E-4
that,8.2137156E-4
who,8.1198494E-4
this,8.024035E-4
vaccines,7.89102E-4
people,7.869489E-4
all,7.7947567E-4
when,7.7673385E-4
amp,7.736629E-4
for,7.718674E-4
its,7.5755955E-4
will,7.5079757E-4
has,7.499641E-4
about,7.3040434E-4
was,7.2330394E-4
from,7.1953423E-4
now,7.113069E-4
had,6.8545574E-4
enough,6.6624815E-4
one,6.640055E-4
vaccinate,6.5476034E-4
your,6.5465644E-4
they,6.5436465E-4
more,6.5193034E-4
covid,6.4875337E-4
just,6.416731E-4
doses,6.3117844E-4
our,6.2353583E-4
what,6.0983247E-4
can,5.988142E-4
after,5.915723E-4
could,5.860428E-4
because,5.845092E-4
pandemic,5.7986006E-4
new,5.694366E-4
how,5.618711E-4
covid19,5.6077994E-4
their,5.577727E-4
over,5.561965E-4
first,5.5198075E-4
like,5.377212E-4
would,5.365096E-4
biden,5.317251E-4
there,5.2880857E-4
potus,5.275459E-4
out,5.2726927E-4
astrazeneca,5.237293E-4
been,5.235616E-4
dont,5.168555E-4
were,5.1457604E-4
and,5.0108123E-4
everyone,4.99372E-4
health,4.9713167E-4
pfizer,4.9308635E-4
why,4.909127E-4
presidentshi,4.891996E-4
should,4.821048E-4
says,4.8180314E-4
government,4.792112E-4
his,4.714498E-4
every,4.5763375E-4
million,4.5457814E-4
president,4.541243E-4
need,4.5383433E-4
india,4.530321E-4
most,4.527731E-4
dose,4.521565E-4
getting,4.449081E-4
know,4.3588647E-4
moderna,4.325885E-4
than,4.3193807E-4
important,4.2736018E-4
country,4.2636815E-4
coronavirus,4.2604006E-4
virus,4.2087183E-4
today,4.1923183E-4
plan,4.1774305E-4
news,4.177029E-4
take,4.1746494E-4
day,4.154507E-4
cant,4.1544443E-4
some,4.1371223E-4
against,4.1358746E-4
got,4.1226603E-4
vaccinated,4.0917995E-4
good,4.082598E-4
weeks,4.0712708E-4
even,4.0540093E-4
two,3.9929568E-4
rollout,3.9523435E-4
only,3.9117882E-4
other,3.9099524E-4
south,3.797906E-4
didnt,3.7570362E-4
still,3.739812E-4
want,3.7114133E-4
being,3.6782236E-4
time,3.6510132E-4
week,3.6147135E-4
americans,3.609133E-4
well,3.6062245E-4
said,3.5840296E-4
oxford,3.5769638E-4
did,3.576289E-4
canada,3.543151E-4
please,3.4719595E-4
very,3.4612705E-4
shot,3.4600485E-4
say,3.4092568E-4
school,3.3826675E-4
great,3.3653868E-4
make,3.360224E-4
use,3.3470363E-4
weve,3.3239534E-4
office,3.3137054E-4
received,3.308937E-4
those,3.3022757E-4
any,3.296624E-4
team,3.2648208E-4
many,3.2238525E-4
fa9v6wgbbz,3.2219655E-4
doesnt,3.2191112E-4
also,3.2184352E-4
vax,3.215386E-4
africa,3.206533E-4
deadly,3.2017E-4
three,3.193053E-4
work,3.173355E-4
share,3.1674106E-4
johnson,3.1505717E-4
here,3.1083688E-4
site,3.1069928E-4
her,3.0952608E-4
took,3.0905762E-4
thats,3.0902747E-4
mrna,3.0847383E-4
think,3.0772164E-4
mask,3.075824E-4
last,3.0623266E-4
capitalism,3.0465215E-4
world,3.045127E-4
american,3.0448593E-4
create,3.0429426E-4
which,3.0315085E-4
data,3.0239645E-4
see,3.0135378E-4
them,2.987784E-4
cases,2.9753117E-4
supply,2.971289E-4
own,2.9689693E-4
state,2.964604E-4
ago,2.9602883E-4
public,2.9462832E-4
free,2.945278E-4
proustmalone,2.9381012E-4
exists,2.9220467E-4
pharm,2.919033E-4
going,2.9103685E-4
year,2.9010067E-4
countries,2.8982345E-4
help,2.8689342E-4
thank,2.8649787E-4
workers,2.861898E-4
right,2.854345E-4
america,2.852864E-4
days,2.8433598E-4
rebeccalacey,2.8415676E-4
into,2.835885E-4
back,2.8317352E-4
may,2.8232814E-4
distribute,2.796355E-4
before,2.7761597E-4
wouldnt,2.763142E-4
way,2.7618287E-4
then,2.7386952E-4
ive,2.7379926E-4
these,2.7124028E-4
county,2.708069E-4
via,2.7077732E-4
breaking,2.6795358E-4
next,2.6792142E-4
mass,2.6778004E-4
teachers,2.676977E-4
nhs,2.6676967E-4
too,2.6668017E-4
teacher,2.6564513E-4
does,2.6398207E-4
story,2.623792E-4
appointment,2.615046E-4
yet,2.5976085E-4
around,2.591868E-4
able,2.5853264E-4
really,2.5841806E-4
conspiracy,2.5738502E-4
trial,2.5600375E-4
side,2.55796E-4
rescue,2.5527342E-4
care,2.54758E-4
100,2.5332446E-4
vaccinations,2.528125E-4
purchased,2.522115E-4
available,2.5214057E-4
home,2.5211545E-4
