Term,Sax String,ClusterId
5.0,10.0,1
8.0,10.0,0
10.0,10.0,3
7.0,9.0,4
7.0,9.0,4
6.0,10.0,6
11.0,10.0,7
10.0,10.0,3
4.0,10.0,9
11.0,10.0,7
9.0,10.0,11
8.0,10.0,0
3.0,10.0,13
5.0,10.0,1
6.0,10.0,6
8.0,10.0,0
13.0,10.0,17
4.0,10.0,9
8.0,10.0,0
8.0,10.0,0
6.0,10.0,6
7.0,10.0,22
6.0,10.0,6
5.0,10.0,1
11.0,9.0,25
7.0,10.0,22
4.0,9.0,27
6.0,9.0,28
3.0,10.0,13
14.0,10.0,30
5.0,10.0,1
6.0,10.0,6
12.0,9.0,33
6.0,10.0,6
8.0,10.0,0
7.0,10.0,22
10.0,10.0,3
5.0,10.0,1
8.0,10.0,0
7.0,10.0,22
11.0,10.0,7
10.0,10.0,3
10.0,10.0,3
4.0,10.0,9
6.0,10.0,6
4.0,10.0,9
9.0,10.0,11
4.0,10.0,9
9.0,10.0,11
7.0,10.0,22
9.0,10.0,11
10.0,10.0,3
3.0,9.0,53
10.0,10.0,3
6.0,10.0,6
9.0,10.0,11
3.0,9.0,53
4.0,9.0,27
8.0,10.0,0
9.0,10.0,11
15.0,10.0,30
8.0,10.0,0
6.0,10.0,6
6.0,9.0,28
9.0,10.0,11
8.0,10.0,0
11.0,10.0,7
4.0,10.0,9
8.0,10.0,0
12.0,10.0,70
4.0,10.0,9
6.0,10.0,6
12.0,10.0,70
10.0,10.0,3
9.0,10.0,11
12.0,10.0,70
10.0,10.0,3
8.0,10.0,0
6.0,10.0,6
8.0,10.0,0
7.0,10.0,22
10.0,10.0,3
10.0,10.0,3
11.0,10.0,7
8.0,10.0,0
5.0,10.0,1
8.0,10.0,0
8.0,10.0,0
6.0,10.0,6
6.0,10.0,6
7.0,10.0,22
10.0,9.0,92
9.0,10.0,11
12.0,10.0,70
4.0,10.0,9
8.0,10.0,0
4.0,9.0,27
11.0,10.0,7
7.0,10.0,22
10.0,10.0,3
9.0,10.0,11
4.0,10.0,9
10.0,10.0,3
6.0,10.0,6
8.0,10.0,0
10.0,10.0,3
8.0,10.0,0
6.0,10.0,6
10.0,10.0,3
5.0,10.0,1
12.0,10.0,70
8.0,10.0,0
5.0,9.0,113
4.0,10.0,9
11.0,10.0,7
14.0,10.0,30
9.0,10.0,11
5.0,10.0,1
3.0,9.0,53
6.0,10.0,6
7.0,10.0,22
9.0,10.0,11
3.0,10.0,13
8.0,10.0,0
8.0,10.0,0
7.0,10.0,22
4.0,10.0,9
14.0,10.0,30
6.0,10.0,6
11.0,10.0,7
9.0,10.0,11
3.0,10.0,13
4.0,10.0,9
11.0,10.0,7
5.0,10.0,1
5.0,10.0,1
10.0,10.0,3
6.0,10.0,6
4.0,10.0,9
6.0,10.0,6
11.0,10.0,7
8.0,10.0,0
8.0,10.0,0
3.0,9.0,53
11.0,10.0,7
7.0,10.0,22
8.0,10.0,0
11.0,10.0,7
4.0,10.0,9
6.0,10.0,6
11.0,10.0,7
5.0,10.0,1
5.0,9.0,113
6.0,10.0,6
6.0,10.0,6
10.0,10.0,3
7.0,10.0,22
7.0,10.0,22
10.0,10.0,3
5.0,10.0,1
3.0,10.0,13
7.0,10.0,22
4.0,10.0,9
8.0,10.0,0
5.0,10.0,1
4.0,10.0,9
3.0,10.0,13
4.0,10.0,9
6.0,10.0,6
9.0,10.0,11
6.0,10.0,6
4.0,10.0,9
6.0,10.0,6
7.0,10.0,22
4.0,10.0,9
10.0,10.0,3
5.0,9.0,113
4.0,9.0,27
10.0,10.0,3
5.0,10.0,1
4.0,10.0,9
4.0,10.0,9
4.0,10.0,9
10.0,10.0,3
2.0,10.0,13
4.0,10.0,9
7.0,10.0,22
6.0,10.0,6
3.0,10.0,13
10.0,10.0,3
13.0,10.0,17
5.0,9.0,113
4.0,10.0,9
10.0,10.0,3
7.0,10.0,22
7.0,10.0,22
10.0,10.0,3
5.0,10.0,1
5.0,10.0,1
6.0,10.0,6
6.0,10.0,6
4.0,10.0,9
6.0,9.0,28
13.0,10.0,17
4.0,10.0,9
6.0,10.0,6
6.0,9.0,28
6.0,9.0,28
7.0,10.0,22
7.0,10.0,22
4.0,10.0,9
5.0,10.0,1
3.0,10.0,13
6.0,10.0,6
5.0,9.0,113
10.0,10.0,3
5.0,10.0,1
9.0,10.0,11
11.0,10.0,7
12.0,10.0,70
4.0,9.0,27
5.0,10.0,1
5.0,10.0,1
