Term,Sax String,ClusterId
9.0,9.0,1
5.0,10.0,0
7.0,10.0,3
6.0,9.0,4
10.0,10.0,5
7.0,9.0,6
13.0,9.0,7
6.0,10.0,8
5.0,10.0,0
5.0,10.0,0
9.0,10.0,11
4.0,10.0,12
4.0,10.0,12
7.0,10.0,3
8.0,10.0,15
8.0,9.0,16
6.0,10.0,8
8.0,10.0,15
8.0,10.0,15
13.0,10.0,20
9.0,9.0,1
8.0,10.0,15
3.0,9.0,23
6.0,10.0,8
9.0,10.0,11
5.0,10.0,0
6.0,9.0,4
11.0,10.0,28
5.0,10.0,0
10.0,10.0,5
6.0,10.0,8
4.0,9.0,32
9.0,9.0,1
3.0,9.0,23
4.0,10.0,12
5.0,10.0,0
6.0,9.0,4
8.0,10.0,15
6.0,9.0,4
10.0,10.0,5
5.0,10.0,0
7.0,10.0,3
4.0,10.0,12
6.0,10.0,8
11.0,10.0,28
10.0,10.0,5
4.0,10.0,12
6.0,10.0,8
7.0,10.0,3
4.0,9.0,32
7.0,10.0,3
9.0,10.0,11
4.0,10.0,12
3.0,9.0,23
7.0,10.0,3
9.0,10.0,11
7.0,10.0,3
12.0,10.0,58
10.0,10.0,5
10.0,10.0,5
4.0,9.0,32
4.0,10.0,12
6.0,10.0,8
10.0,10.0,5
4.0,10.0,12
6.0,10.0,8
3.0,10.0,67
10.0,9.0,68
8.0,10.0,15
8.0,10.0,15
6.0,10.0,8
8.0,10.0,15
9.0,10.0,11
4.0,10.0,12
8.0,10.0,15
4.0,10.0,12
8.0,10.0,15
12.0,10.0,58
8.0,10.0,15
7.0,10.0,3
6.0,10.0,8
11.0,10.0,28
7.0,10.0,3
8.0,10.0,15
5.0,9.0,85
8.0,10.0,15
6.0,9.0,4
7.0,10.0,3
11.0,10.0,28
6.0,10.0,8
4.0,10.0,12
10.0,10.0,5
8.0,9.0,16
8.0,10.0,15
6.0,9.0,4
8.0,10.0,15
4.0,10.0,12
10.0,9.0,68
7.0,10.0,3
4.0,9.0,32
4.0,10.0,12
6.0,9.0,4
5.0,9.0,85
6.0,10.0,8
8.0,10.0,15
11.0,10.0,28
14.0,9.0,7
5.0,10.0,0
9.0,10.0,11
3.0,9.0,23
4.0,10.0,12
6.0,10.0,8
9.0,10.0,11
8.0,10.0,15
8.0,10.0,15
5.0,10.0,0
8.0,10.0,15
8.0,10.0,15
8.0,10.0,15
7.0,9.0,6
11.0,10.0,28
3.0,9.0,23
3.0,10.0,67
4.0,9.0,32
6.0,10.0,8
11.0,10.0,28
5.0,9.0,85
5.0,10.0,0
10.0,10.0,5
4.0,10.0,12
4.0,10.0,12
10.0,9.0,68
12.0,9.0,133
6.0,9.0,4
5.0,9.0,85
8.0,10.0,15
3.0,10.0,67
8.0,10.0,15
11.0,10.0,28
11.0,10.0,28
7.0,9.0,6
8.0,10.0,15
11.0,10.0,28
5.0,10.0,0
4.0,10.0,12
9.0,10.0,11
6.0,10.0,8
11.0,10.0,28
5.0,10.0,0
6.0,10.0,8
4.0,10.0,12
6.0,9.0,4
8.0,10.0,15
10.0,9.0,68
6.0,10.0,8
6.0,10.0,8
4.0,10.0,12
7.0,10.0,3
10.0,10.0,5
5.0,9.0,85
3.0,10.0,67
4.0,10.0,12
4.0,9.0,32
3.0,10.0,67
4.0,9.0,32
9.0,10.0,11
3.0,10.0,67
8.0,10.0,15
4.0,9.0,32
5.0,10.0,0
6.0,10.0,8
4.0,10.0,12
6.0,10.0,8
4.0,10.0,12
13.0,10.0,20
4.0,10.0,12
5.0,10.0,0
11.0,10.0,28
5.0,10.0,0
5.0,9.0,85
6.0,10.0,8
5.0,10.0,0
3.0,10.0,67
11.0,10.0,28
4.0,9.0,32
7.0,9.0,6
12.0,10.0,58
4.0,9.0,32
6.0,10.0,8
2.0,10.0,67
5.0,9.0,85
10.0,10.0,5
4.0,10.0,12
7.0,10.0,3
3.0,9.0,23
13.0,10.0,20
5.0,10.0,0
10.0,10.0,5
4.0,10.0,12
12.0,10.0,58
7.0,9.0,6
5.0,9.0,85
7.0,10.0,3
4.0,10.0,12
5.0,10.0,0
7.0,10.0,3
4.0,9.0,32
6.0,10.0,8
6.0,9.0,4
5.0,9.0,85
6.0,10.0,8
6.0,9.0,4
