Term,Sax String,ClusterId
9.0,10.0,1
5.0,10.0,2
9.0,10.0,1
7.0,9.0,4
6.0,10.0,5
7.0,10.0,6
6.0,10.0,5
6.0,10.0,5
5.0,10.0,2
9.0,10.0,1
4.0,10.0,11
9.0,9.0,12
8.0,10.0,13
8.0,10.0,13
3.0,10.0,15
6.0,10.0,5
6.0,10.0,5
5.0,10.0,2
13.0,10.0,19
8.0,10.0,13
8.0,10.0,13
6.0,10.0,5
6.0,10.0,5
4.0,10.0,11
7.0,10.0,6
4.0,10.0,11
7.0,10.0,6
9.0,9.0,12
3.0,10.0,15
6.0,10.0,5
14.0,10.0,19
5.0,10.0,2
12.0,10.0,33
6.0,10.0,5
8.0,10.0,13
6.0,10.0,5
7.0,10.0,6
5.0,10.0,2
10.0,10.0,39
7.0,10.0,6
4.0,9.0,41
11.0,10.0,42
10.0,10.0,39
10.0,9.0,44
4.0,10.0,11
14.0,10.0,19
6.0,10.0,5
4.0,10.0,11
8.0,10.0,13
7.0,10.0,6
4.0,10.0,11
5.0,10.0,2
9.0,10.0,1
4.0,9.0,41
9.0,10.0,1
7.0,10.0,6
11.0,10.0,42
10.0,10.0,39
3.0,10.0,15
10.0,9.0,44
4.0,10.0,11
6.0,10.0,5
11.0,10.0,42
9.0,10.0,1
6.0,10.0,5
3.0,10.0,15
5.0,10.0,2
8.0,10.0,13
8.0,10.0,13
6.0,10.0,5
8.0,9.0,71
12.0,10.0,33
4.0,10.0,11
10.0,10.0,39
10.0,10.0,39
12.0,10.0,33
8.0,10.0,13
6.0,10.0,5
13.0,10.0,19
11.0,10.0,42
7.0,10.0,6
5.0,9.0,82
8.0,10.0,13
5.0,10.0,2
8.0,10.0,13
6.0,10.0,5
7.0,10.0,6
10.0,10.0,39
11.0,10.0,42
4.0,10.0,11
7.0,10.0,6
7.0,10.0,6
6.0,10.0,5
8.0,10.0,13
6.0,10.0,5
10.0,10.0,39
4.0,10.0,11
7.0,10.0,6
12.0,10.0,33
5.0,10.0,2
5.0,10.0,2
14.0,10.0,19
9.0,10.0,1
5.0,9.0,82
3.0,10.0,15
9.0,10.0,1
13.0,10.0,19
8.0,10.0,13
9.0,10.0,1
8.0,10.0,13
8.0,10.0,13
7.0,10.0,6
7.0,10.0,6
11.0,10.0,42
8.0,10.0,13
3.0,10.0,15
4.0,10.0,11
11.0,9.0,118
5.0,10.0,2
5.0,10.0,2
4.0,10.0,11
6.0,10.0,5
5.0,9.0,82
8.0,10.0,13
11.0,10.0,42
4.0,9.0,41
11.0,10.0,42
11.0,10.0,42
11.0,10.0,42
7.0,10.0,6
11.0,10.0,42
7.0,9.0,4
11.0,10.0,42
4.0,10.0,11
4.0,10.0,11
9.0,9.0,12
6.0,10.0,5
11.0,10.0,42
5.0,10.0,2
