ClusterId,Term
1,spoke
2,kyaukhaadlega
3,theorists
3,approved
5,2bkag19uqj
6,teamed
0,blockc
8,veganwashing
1,develo
10,gareeboop
5,o439stufwn
6,cdc
8,sirtjovitjoh
10,spreading
10,maaloufmd
16,230m
1,60916
0,chiles
1,pbgxw
10,maxcroser
21,prioritization
10,standards
10,diplomacy
0,latino
6,heared
0,telling
1,bogus
28,thedailyshow
5,joannaeswan
10,supercovid
6,1000
16,ceo
33,kristindonnelly
34,minds
6,samb
10,characteri
3,willjhrt
16,weig
39,abhishbanerj
2,dddropthelace
1,ordered
10,ovzthlijrm
3,approves
3,2326632
5,2oodnddvzr
1,troll
5,australians
6,tha
0,entering
1,incit
6,thi
52,quarantine
53,tho
3,iwt1qyk
5,brianpinker
52,fmkgwq7rvj
5,dig1v9qduy
10,zya8z3srmq
16,100m
39,vaccinated
33,prasant98036990
52,pdemetrious
8,vaccinemaitri
5,offensively
6,cha
33,hichkasofficial
52,uneducated
10,delivering
69,making
0,balkot
10,asanilta
8,kakalibisui
53,8th
10,relatives
1,walker
2,jennerpractice
6,gone
0,walked
5,willbooker32
2,justintrudeau
81,reopening
0,454000
0,trahvv
10,yeobeeyin
3,applied
5,mkainerugaba
8,patpichatan
0,katem85
52,shueyfvqeb
10,provides
10,panos101
0,murdoch
5,cherylkernot
0,patrick
52,zkagqrnhd6
5,glyphosate
2,justinpicheh
6,saps
10,garethrose
8,microbiology
6,leyen
3,iconsiam
5,mpbai42goz
2,karliwithakay
53,tweet
52,66million
5,ru7xusquk9
3,yaaayyy
0,colton
52,cume9kyzgz
0,mehboob
5,3fw0j9ggc3
10,handling
0,taking
8,lavmitchelle
39,vaccinatio
2,govlarryhogan
5,wgauxg1ij1
10,foramerica
34,loved
53,flop
8,jamesmelville
52,protecting
16,went
3,kttrenta
52,considering
10,mutation
10,bringing
3,schools
6,anal
33,sartoriusglobal
52,barackobama
16,sars
6,orders
8,vaccination
34,thats
1,women
5,battlecorgig
0,165714
6,fuck
0,nigerian
8,australasian
10,mandatory
144,tom
2,andrewlawrence
5,colonizati
8,nadhimzahawi
3,morrison
10,statewide
8,brianlilley
6,cnn
0,retweet
8,vaccinating
1,drugs
0,premier
5,nationists
3,katappa
33,raphotography55
2,roundtheclock
5,pepisouthern
6,pima
52,a4vzp8lgmq
3,dinging
5,communities
3,runoffs
16,com
5,rqgosiuktq
6,con
1,catech
10,fcthbrd2im
16,lets
6,cov
10,nzm3ec6r7i
3,inabber69
0,biggest
6,govt
0,191181
5,karanthapar
5,introducing
52,wv9hx6qmyv
1,wales
8,rubenguzmanmd
5,vtfpz9l6k3
6,lbc
5,ey74i8ciac
1,meximum
53,200
5,ckwglajou4
33,cobboldhumphrey
16,were
16,tru
1,elenas
6,became
3,arizona
52,8s5ebk9nfv
5,u9ghpi1sl5
0,708000
16,weve
5,3rbwycd0qi
34,times
0,vaxcor
2,amandadimilta
6,says
52,akhileshji
0,novava
3,zoekay94
52,kqf2debvob
52,adambrimson
3,comments
5,m2xjahwjdr
1,appts
0,148350
1,towie
52,2mxbt4pvre
0,vodacom
0,dinooo
21,roelofsesantie
6,thars
0,capita
0,665172
1,avsar
0,caught
5,izzutriples
0,gotten
3,segaleran
6,pres
1,japan
0,destroyd
144,led
5,ntsscamsteam
10,bahubali
5,infuriating
10,personless
21,nirmald72968844
34,worked
6,ctd
5,alexberenson
1,stats
52,pakistani
2,merylkornfield
8,appointments
2,andrewharding9
6,cares
34,havent
1,tonal
52,caplmoa5ld
69,abc730
2,cromwellstuff
5,o2wd0avnd5
6,tvn
1,aflds
1,gokal
21,hmitchellphoto
5,jamesabrenio
1,23055
3,creating
3,fbiomaha
0,butnhs
3,ktkozar
1,shots
5,o01fyfyxny
3,hitz567
5,rpvwdyazcf
3,wasting
52,collapsed
69,toronto
52,iexyvxacis
0,dollars
69,strains
52,2obm6jqtu4
10,djbaskin
53,does
52,waitingif
0,reported
52,julieoz836
52,immigrants
6,cvs
52,lasticlegs
0,refused
10,cisheteron
0,cwunews
5,nickypatto
0,services
52,erinotoole
8,anthonypesec
6,cwc
6,ncov
52,collapses
0,maddow
6,ctto
10,mdub2829
6,grrlmd
6,lib
6,lik
21,realbillrussell
1,leifermd
0,paying
10,holidays
5,volunteering
1,homes
5,x9gfckglzh
1,starts
16,tech
5,yxcqoipck5
5,abutipeekay
10,judgments
2,cyrilramaphosa
1,nurses
52,fzqzsyrrp8
3,auspost
5,a4jhpfk09f
3,mooting
0,sixeast
3,mo87mo87
3,expiring
0,bashar
1,nipah
21,weirwoodtreehug
6,cards
1,becaus
10,resistant
10,gavsterno1
5,noconversion
5,bbmwg2uvao
