Cluster ID, Term
12,4aqe8xxjmt
3,doug
12,returning
12,paul
8,did
0,london
11,tweets
15,dangerously
20,believing
11,recommendations
67,launching
12,fears
15,dis
12,plurality
6,1138
8,hyderabad
6,brings
4,passport
3,adding
32,airlines
12,uks
6,info
8,hancock
11,angeles
16,autoimmune
1,normanswan
32,louisiana
11,ktla
8,misleading
32,freezer
11,learnt
16,inoculate
8,influenza
15,needles
15,amateuradam
15,drericding
5,overwhelmed
12,politicise
8,papers
5,states
58,dhruvrathee
0,quintabrunson
3,wasnt
3,houston
5,podcast
15,disgusting
0,kizzyphd
0,thomas
8,qanon
15,prince
3,billions
0,arrogant
8,harris
3,blessed
8,expands
3,concerns
28,cesspool
15,lalehkhalili
67,erictopol
8,henry
16,stacey
3,recommends
15,showing
0,articles
11,keralas
58,qualified
4,vaccinations
8,helping
11,swamy39
5,exhausted
15,narendramodis
85,s0phgrace
11,doesnt
12,lockdowns
15,dna
85,supplies
3,borisj
3,injected
0,revealed
0,roque
0,letters
11,lying
32,researchers
8,made
0,signed
20,punts
8,jamaalbowmanny
67,hoping
12,afri
28,jesus
12,congresswoman
0,served
12,warned
3,doc
12,messages
12,opens
8,doh
0,towing
32,gayle
12,don
6,bags
3,akhilesh
4,portugal
4,targets
58,woulda
8,govmikedewine
32,inserted
5,mak
12,kylegriffin1
0,maga
0,knows
8,myths
0,joking
0,quebec
3,deniers
8,everyones
15,todays
32,singapore
3,300
8,websites
8,usnavy
12,pradesh
3,usa
5,khairykj
28,prioritised
3,denisrancourt
12,halving
4,p90b
0,nursing
5,nigel
0,circulating
4,commun
0,readout
11,likes
67,fraudulent
3,feds
133,carolina
107,houstonhealth
15,indiafightscorona
12,includes
0,ideas
12,becomes
5,uts
0,millionaire
3,parton
85,theonion
8,mvmeet
23,veterans
5,med
3,negotiating
8,nonsense
1,syringe
28,lv1gmvnpbx
67,pfizervaccine
85,men
20,ebola
67,justification
15,met
58,included
85,michaelminalab
28,nadhim
6,unscientific
11,sinopharm
8,questioned
15,cahill
5,qimweonmxo
28,theeliklein
0,stephenmangan
3,taunt
32,trending
12,woke
15,enters
8,bullshit
3,hiding
12,whining
58,brow
3,jacksoncarlaw
15,released
85,tonights
0,buhari
3,boxes
32,received
20,mrna
6,independentsage
8,jeremyhunt
6,highest
8,receives
0,priming
68,worlds
6,ashishkjha
28,anoobhu
67,participated
32,scam
12,mid
0,slams
12,shares
12,mil
12,1st
16,min
3,mhragovuk
0,supports
68,workers
58,jameshamblin
11,oflynnsocial
12,controller
11,stat
32,strategies
0,bans
11,polio
15,controlled
12,redsteeze
85,texts
58,nilikm
11,justiceforevee
0,bureaucracy
32,holds
15,pharma
0,respected
8,experts
6,jkwanmd
85,protects
0,lasts
4,forced
0,106367
7,numbers
12,roccogalatilaw
5,ndtv
1,enhancement
32,sianushka
4,arent
85,funded
0,pfizers
20,kenney
11,govrondesantis
15,california
23,admitted
3,felt
32,invited
