ClusterId,Term
40,narendramodis
0,doesnt
1,lockdowns
1,workplaces
4,supplies
13,dna
5,injected
5,revealed
0,roque
0,letters
0,lying
40,immaculate
1,researchers
13,made
7,signed
0,punts
0,foone
28,hoping
13,jesus
13,served
0,warned
5,messages
13,opens
13,doc
13,ups
13,doh
0,gayle
31,don
5,britsham
40,i2mjs974oo
23,peoplesvaccine
13,stamp
7,chunkz
28,targets
7,woulda
75,govmikedewine
13,dpa
60,kylegriffin1
31,maga
0,knows
1,opindiacom
83,myths
0,quebec
0,deniers
5,everyones
7,todays
4,singapore
44,demigodgeous
13,300
0,gearing
13,afte
28,pradesh
13,usa
40,prioritised
13,p90b
7,nursing
40,circulating
139,johnjharwood
83,commun
0,likes
0,surgin
18,feds
5,carolina
18,drs
13,30b
104,indiafightscorona
4,includes
0,crores
0,becomes
13,uts
60,skarlamangla
0,parton
34,drsukantamajum1
40,disabledphd
18,med
5,nonsense
18,31m
7,syringe
23,michaelyeadon3
1,lv1gmvnpbx
44,pfizervaccine
18,men
5,smoking
7,threats
1,transformed
0,ebola
4,included
18,met
75,michaelminalab
0,nadhim
5,sinopharm
7,governmen
18,nyers
5,trending
5,kolkata
31,woke
13,enters
4,bullshit
7,hiding
13,brow
5,released
5,received
13,mrna
1,mismanaged
34,independentsage
7,highest
5,receives
5,invested
7,priming
0,worlds
60,ashishkjha
16,anoobhu
44,participated
13,mid
18,scam
13,slams
0,shares
18,fell
13,mil
13,1st
13,min
5,supports
5,tottenham
0,workers
13,cuts
40,jameshamblin
31,stat
13,bans
0,polio
13,staf
4,redsteeze
13,texts
1,bureaucracy
0,holds
13,pharma
4,respected
0,experts
13,seeks
7,jkwanmd
83,funder
5,protects
0,lasts
0,forced
7,106367
0,numbers
60,dpradhanbjp
4,bolsonaro
31,ndtv
40,enhancement
4,bi4zbe57mn
31,arent
7,funded
0,pfizers
0,kenney
1,california
23,govrondesantis
40,baileymoon15
4,admitted
5,trudeaus
5,invited
18,felt
13,wont
60,sahilkapur
0,secures
31,korea
7,advisers
23,bhupendrachaube
0,forces
7,nicola
18,fema
0,secured
28,internet
0,polly
40,goss30goss
0,needed
18,lord
0,admin
13,18th
0,expan
7,stocks
31,peopl
40,blsanthosh
34,nhslouisajordan
1,educative
7,urgency
0,orwell
1,activists
5,winning
18,marr
23,meaningfulness
18,mara
13,cells
1,sethabramson
4,bylenasun
28,ireland
0,anand
7,auspol
40,matthaneysf
7,claimed
7,thetimes
31,mon
1,khameneiir
18,mor
13,vac
1,gavinnewsom
4,workforce
1,supermarkets
40,controlling
5,profits
13,matt
13,vax
18,wort
1,govwhitmer
13,mps
7,imgrund
5,knowing
0,delays
40,registration
7,stated
13,recei
1,republican
23,davidscullion
5,throwing
13,perdue
5,believes
40,partnerships
1,ethnyagami
7,indoors
28,rushed
5,believed
0,europe
5,facebook
13,aged
5,genocide
75,immunisation
13,carers
13,sends
28,indias
40,apocalypse
40,regulations
0,21wire
5,cutting
13,ages
0,inbox
7,indian
13,sharma
1,hospitals
5,injuries
7,prepared
18,msm
7,freedoms
44,profmusgrave
13,no10
7,joshtpm
75,lumkojohnson
16,fascist
4,expecting
23,kirstiemallsopp
139,repleezeldin
28,failed
1,sbf8c8bezt
4,unveiling
1,appointed
5,visitors
5,shipped
5,preparing
7,cleaned
4,pathogen
18,seems
0,rodham
5,commence
23,original31313
7,tickets
18,mum
0,minimu
34,congratulations
5,deployed
7,latimes
40,nprpolitics
75,balchinimelda
4,expedited
5,catturd2
0,talks
40,maharashtra
7,tedlieu
5,fairness
44,gamergate2077
18,eff
4,notified
31,spent
7,stephen
1,ministerial
4,shipments
23,jimtwoeightsix
31,jack
1,compulsory
7,stolen
7,prepares
5,mojos55
13,jabs
5,francis
13,armys
44,constituents
5,providers
0,hands
83,saved
1,clamouring
5,allowed
5,staying
4,hiiipowers
5,ignoring
83,saves
34,celliottability
1,auschwitz
7,liberals
4,communiti
7,moving
7,victims
4,sanctuary
28,dealing
7,google
7,israels
16,nspector4
4,contains
0,wuhan
13,boris
7,israeli
1,restaurants
4,happening
44,everydoctoruk
7,unused
75,robmiller12345
1,j8lselptdp
13,beware
16,wouldnt
0,duterte
44,catastrophic
5,inmates
0,agreed
28,website
5,failures
1,ezralevant
5,pushing
75,covidwarriors
7,sccath
0,jetted
44,instructions
1,addressing
0,notes
5,generates
5,novavax
31,ohio
44,andyburnhamgm
5,khamenei
0,whats
5,generated
7,peoples
104,washingtonpost
0,starmer
0,wrote
4,newspapers
18,users
0,risen
13,tests
7,canada
1,beneficiary
1,prioritise
31,vuln
18,ema
13,http
5,lasting
0,dysto
4,governorva
7,narendra
13,epsom
4,breakdown
75,donaldjtrumpjr
0,gates
0,lines
7,drtedros
28,dakota
34,leaveeuofficial
40,ekaowa6kye
31,rick
5,agencies
0,noted
18,agre
5,visited
0,kicks
5,achieved
7,happens
5,wanting
7,called
13,told
17,shouldnt
5,abiding
18,nejm
31,3000
40,repmattgaetz
7,rolled
13,turns
0,bravo
0,tried
13,nah
16,outbreak
31,nan
1,theleadcnn
7,idiots
18,epi
13,nat
1,pathogenic
0,aliens
4,programmes
4,momentous
4,incindia
1,thousands
13,nba
0,wanna
88,therickydavila
23,stuartpstevens
7,widodo
5,africans
13,3006
13,400
7,drives
7,driven
4,sputnikv
5,bbcworld
23,adamparkhomenko
83,asked
23,scottmorrisonmp
44,doctoroxford
7,rights
40,kn9zauou5q
44,manufactured
4,deployment
44,saladinahmed
0,bihar
0,stores
13,2nd
83,rishi
13,lgus
75,voteforvaccine
0,stored
5,urgently
0,10000
0,13993
1,francisco
75,andrewjhansen
18,cent
17,pmoindia
5,disorders
34,santosh08542759
0,links
7,kushner
13,took
4,catching
5,settings
0,barker
13,tony
5,followers
83,races
1,jimmfelton
17,defencehq
4,mayorofla
13,cnbc
18,eus
40,jnthyavqxh
1,nygovcuomo
18,cept
5,reaching
34,richardscribbl1
7,iztariq
18,eve
23,anthonylipmann
0,chose
5,retweets
13,icmrs
44,unmitigated
0,rates
40,charlesgaba
0,rolls
4,sinovacs
1,prioritize
0,risks
5,freezing
0,martin
13,nhs
0,queens
18,forms
40,developments
5,drrosena
5,johnson
75,heatnextdraft1
7,decided
1,companies
5,locally
4,countries
1,monitoring
13,hubs
7,wanted
18,tory
13,feels
44,keelyflaherty
1,dinomelaye
16,students
40,journalists
7,permitted
5,bainjal
31,b117
40,ingredients
7,insane
4,backbone
1,nhsengland
0,centres
13,appt
5,scaling
40,opwarpspeed
7,poison
7,jnjnews
4,trialled
5,recovered
13,metric
7,nypost
4,supported
75,transition46
7,florida
4,genuinely
7,remains
28,philip
5,arriving
4,microsoft
4,summation
75,drdavidsamadi
13,raab
31,superb
5,bloomberg
40,newschambers
7,sharing
4,improving
0,50000
0,reopen
13,leads
4,fatemperor
28,gooooo
13,non
1,supporting
13,24hr
13,wai
5,fmwales
0,11248
1,wisconsin
13,greek
4,thoughts
0,breaks
13,was
40,gbwz4lsqgb
75,borisjohnsons
7,itvnews
18,npr
4,shortages
28,stellar
0,israel
7,african
4,attempted
7,delivers
0,taxes
44,eligibility
7,charles
44,insurrection
7,issues
1,priorities
7,grandma
75,chiarazambrano
1,struggling
7,issued
7,exhibi
17,dashboard
83,lives
75,misinformation
7,depends
5,survived
0,lowest
5,determined
18,metro
0,didnt
23,carolinesewell
40,prioritized
0,mjsdc
83,irish
31,cnni
4,districts
16,vatican
4,microchip
4,receiving
5,couldnt
0,julia
18,wee
18,wed
18,wef
13,older
5,relieved
1,indonesian
13,fda
1,indonesias
18,wer
18,heres
40,astrazeneca
5,happened
4,staggering
13,heads
0,levels
34,covid19vaccine
18,feb
75,pharmaceutical
5,booking
13,dick
18,fed
4,208edxmkfz
44,kevinkileyca
0,looks
40,cusx2wugyy
44,seashantytok
7,letting
18,3am
7,licence
0,opened
44,cellcellpress
7,decadon
4,produced
31,wha
28,effects
75,inquirerdotnet
13,ffs
28,cdcgov
23,adarpoonawalla
13,whe
1,a3iyjqtfcm
28,turkish
40,explaining
13,whi
4,globally
0,unveil
7,deserves
13,died
18,uber
0,belsen
0,vacci
0,25000
40,itxw2o5pi0
7,trudeau
0,david
13,wil
