9 41 41 41 41 41 41 41 41 41
0 0 0 0 0 0 0 0 0 0
479 311 311 311 311 311 311 311 311 311
54 32 32 32 32 32 32 32 32 32
16 39 39 39 39 39 39 39 39 39
8 54 54 54 54 54 54 54 54 54
0 0 0 0 0 0 0 0 0 0
0 1 1 1 1 1 1 1 1 1
1022 1044 1044 1044 1044 1044 1044 1044 1044 1044
16 59 59 59 59 59 59 59 59 59
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
19 573 573 573 573 573 573 573 573 573
7 17 17 17 17 17 17 17 17 17
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
185 477 477 477 477 477 477 477 477 477
47 19 19 19 19 19 19 19 19 19
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0 0 0
22 58 58 58 58 58 58 58 58 58
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
78 30 30 30 30 30 30 30 30 30
0 0 0 0 0 0 0 0 0 0
19 6 6 6 6 6 6 6 6 6
241 227 227 227 227 227 227 227 227 227
0 30 30 30 30 30 30 30 30 30
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 2 2 2 2 2 2 2 2 2
0 0 0 0 0 0 0 0 0 0
82 61 61 61 61 61 61 61 61 61
202 104 104 104 104 104 104 104 104 104
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
289 465 465 465 465 465 465 465 465 465
14 18 18 18 18 18 18 18 18 18
0 0 0 0 0 0 0 0 0 0
110 200 200 200 200 200 200 200 200 200
70 22 22 22 22 22 22 22 22 22
0 0 0 0 0 0 0 0 0 0
52 194 194 194 194 194 194 194 194 194
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
71 108 108 108 108 108 108 108 108 108
64 73 73 73 73 73 73 73 73 73
25 49 49 49 49 49 49 49 49 49
0 0 0 0 0 0 0 0 0 0
406 394 394 394 394 394 394 394 394 394
6 32 32 32 32 32 32 32 32 32
0 0 0 0 0 0 0 0 0 0
1876 2164 2164 2164 2164 2164 2164 2164 2164 2164
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
6 20 20 20 20 20 20 20 20 20
0 0 0 0 0 0 0 0 0 0
51 62 62 62 62 62 62 62 62 62
0 0 0 0 0 0 0 0 0 0
1 2 2 2 2 2 2 2 2 2
36 112 112 112 112 112 112 112 112 112
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
50 79 79 79 79 79 79 79 79 79
0 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0
27 59 59 59 59 59 59 59 59 59
8 4 4 4 4 4 4 4 4 4
28 32 32 32 32 32 32 32 32 32
6 25 25 25 25 25 25 25 25 25
0 0 0 0 0 0 0 0 0 0
2 10 10 10 10 10 10 10 10 10
0 0 0 0 0 0 0 0 0 0
26 39 39 39 39 39 39 39 39 39
15 20 20 20 20 20 20 20 20 20
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
596 411 411 411 411 411 411 411 411 411
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
12 19 19 19 19 19 19 19 19 19
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
96 99 99 99 99 99 99 99 99 99
0 0 0 0 0 0 0 0 0 0
39 25 25 25 25 25 25 25 25 25
4 9 9 9 9 9 9 9 9 9
656 1811 1811 1811 1811 1811 1811 1811 1811 1811
12 11 11 11 11 11 11 11 11 11
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
1952 1162 1162 1162 1162 1162 1162 1162 1162 1162
0 0 0 0 0 0 0 0 0 0
11 13 13 13 13 13 13 13 13 13
5 46 46 46 46 46 46 46 46 46
20 7 7 7 7 7 7 7 7 7
0 2 2 2 2 2 2 2 2 2
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
3 5 5 5 5 5 5 5 5 5
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
186 177 177 177 177 177 177 177 177 177
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
